"기간","쌀","돼지고기","쇠고기.국산.","우유","라면","스낵과자","달걀","닭고기","두부","마른멸치","고등어","파","참기름","맛김","콩나물","탄산음료","밀가루","전기료","도시가스","휘발유"
1995.01,61.018,36.068,33.532,37.193,42.367,21.902,38.629,62.218,39.704,44.614,17.916,46.566,68.626,43.932,49.847,37.948,27.929,81.341,30.976,33.078
1995.02,61.018,36.345,33.719,37.193,42.499,21.902,39.06,69.423,39.704,44.614,23.946,38.793,68.626,43.932,49.847,37.948,27.929,81.341,30.976,34.434
1995.03,61.079,35.929,33.14,37.193,43.559,21.902,41.137,77.883,39.704,47.912,25.187,41.641,68.626,43.932,49.847,37.948,27.929,81.341,30.976,35.611
1995.04,60.832,35.408,32.59,37.193,44.308,21.902,42.038,69.987,39.704,51.434,25.187,40.794,68.626,43.932,49.448,37.948,27.873,81.341,30.976,35.861
1995.05,60.832,34.608,32.59,37.193,44.308,21.902,41.96,64.85,39.704,52.664,25.187,33.943,68.695,43.932,49.997,37.948,27.873,81.341,30.976,36.324
1995.06,60.832,35.164,32.713,37.193,44.308,21.902,39.335,59.273,39.704,55.404,25.187,34.174,69.387,43.932,49.997,38.848,27.902,81.994,30.976,35.146
1995.07,61.018,35.477,32.957,37.193,44.308,21.902,37.336,57.456,39.704,55.404,25.187,33.442,69.871,43.932,49.997,39.63,27.929,81.994,30.976,34.897
1995.08,61.141,35.686,32.864,37.193,44.308,21.902,38.316,56.83,39.704,57.808,25.187,35.983,70.01,43.932,49.997,40.256,27.986,81.994,30.976,36.146
1995.09,60.894,35.338,32.773,37.193,44.308,21.902,39.1,58.897,39.704,58.758,25.187,52.3,69.664,43.932,49.997,40.256,27.533,81.994,30.976,37.895
1995.1,60.956,34.33,32.59,37.193,44.308,21.902,39.06,61.278,39.704,63.008,25.608,37.368,69.456,43.932,49.997,40.256,27.759,81.994,31.413,38.073
1995.11,63.859,33.045,33.352,37.193,44.794,31.212,38.12,59.398,39.704,67.816,27.023,32.635,69.249,43.932,49.997,40.256,28.892,81.994,32.288,34.541
1995.12,67.564,29.535,32.53,37.193,46.25,31.212,36.044,54.324,39.704,71.505,27.023,34.135,69.249,43.932,49.997,40.256,32.377,81.994,32.288,36.146
1996.01,68.553,29.432,32.987,37.193,46.78,31.212,36.632,57.018,39.704,71.505,24.988,34.713,69.249,43.932,49.997,40.256,33.283,81.994,32.288,37.253
1996.02,69.232,28.632,32.035,37.193,46.78,31.212,38.277,61.842,39.704,70.947,25.087,36.06,69.249,43.932,49.997,40.256,33.283,81.994,32.288,36.468
1996.03,69.17,28.562,32.57,37.193,46.78,31.212,38.12,66.291,39.704,69.381,26.402,36.406,69.249,43.932,49.997,40.256,33.538,81.994,32.288,36.289
1996.04,70.096,28.632,32.265,41.098,46.78,31.212,38.316,66.228,39.704,66.977,29.082,32.057,69.249,43.932,49.997,40.256,34.048,81.994,32.288,37.431
1996.05,71.207,29.674,32.295,42.437,46.692,31.212,37.689,59.398,39.704,65.691,30.943,28.863,69.249,43.932,49.997,40.256,34.048,81.994,32.288,38.145
1996.06,71.825,31.168,31.32,42.437,46.692,31.212,34.751,57.018,42.444,65.691,29.503,33.288,69.249,43.932,51.343,40.256,34.048,81.994,32.288,38.251
1996.07,70.158,32.002,30.775,42.437,46.692,31.212,35.73,60.338,46.335,62.449,28.065,33.442,69.249,43.932,51.343,40.256,34.048,81.994,32.288,42.177
1996.08,70.158,32.107,30.623,42.437,46.692,31.212,35.847,56.391,46.335,55.348,27.246,39.523,69.249,43.932,51.343,40.256,33.963,81.994,32.288,42.784
1996.09,70.158,31.898,30.196,42.437,46.692,31.212,38.944,52.193,46.335,48.471,26.427,35.829,69.041,43.932,51.343,40.256,33.906,81.994,32.288,42.355
1996.1,69.911,31.863,30.074,42.437,46.736,31.212,38.944,50.376,47.407,47.745,26.427,33.211,68.903,43.932,51.343,40.256,33.906,81.994,32.288,42.427
1996.11,69.787,31.55,30.104,42.437,46.647,31.212,37.729,49.373,47.963,48.471,26.229,29.864,68.903,43.932,49.997,40.256,33.906,81.994,32.288,43.568
1996.12,69.787,31.446,29.922,42.437,46.603,31.212,38.159,47.494,47.963,48.919,23.35,29.287,68.903,43.932,49.997,40.256,33.906,81.994,32.288,46.887
1997.01,69.356,31.55,29.74,42.437,46.603,31.212,37.533,50.689,48.519,53.95,22.11,30.98,68.903,43.932,49.997,40.256,34.161,81.994,32.288,49.455
1997.02,69.417,34.365,29.831,42.437,46.603,31.212,38.395,53.384,49.67,55.292,22.11,31.481,68.419,43.932,49.997,40.256,34.275,81.994,32.288,50.597
1997.03,70.281,34.782,29.587,42.437,46.382,31.212,38.787,52.256,49.67,55.292,22.11,33.211,68.142,43.932,49.997,40.256,34.247,81.994,32.288,50.312
1997.04,70.899,34.747,29.373,42.437,46.294,31.212,38.551,52.256,49.67,57.025,25.608,30.595,68.142,43.932,49.997,45.186,34.133,81.994,32.288,49.812
1997.05,72.813,38.952,29.617,42.437,46.294,31.212,37.885,49.812,49.67,58.814,27.866,30.634,68.142,43.932,49.997,46.007,34.897,81.994,36.097,49.527
1997.06,72.752,39.265,30.898,42.103,46.294,31.212,35.73,50.501,49.67,54.566,31.961,35.368,68.142,43.932,55.086,46.007,35.152,81.994,36.097,49.242
1997.07,73.431,39.577,30.441,42.103,49.075,37.778,34.281,58.647,49.67,51.49,29.704,28.632,68.142,43.932,57.581,46.007,35.152,81.994,36.097,47.85
1997.08,75.346,38.708,30.167,42.103,49.12,41.6,36.553,61.467,49.67,45.117,31.142,31.596,68.142,43.932,57.581,46.007,35.152,86.899,36.097,47.85
