"일간","시가총액_단위_억"
"2003.01.02","2618570"
"2003.01.03","2726580"
"2003.01.06","2748210"
"2003.01.07","2689030"
"2003.01.08","2687120"
"2003.01.09","2592000"
"2003.01.10","2583480"
"2003.01.13","2664080"
"2003.01.14","2671420"
"2003.01.15","2653820"
"2003.01.16","2655920"
"2003.01.17","2606640"
"2003.01.20","2598510"
"2003.01.21","2591730"
"2003.01.22","2548160"
"2003.01.23","2559610"
"2003.01.24","2497240"
"2003.01.27","2431560"
"2003.01.28","2463140"
"2003.01.29","2392610"
"2003.01.30","2427550"
"2003.02.03","2463160"
"2003.02.04","2476750"
"2003.02.05","2463940"
"2003.02.06","2417620"
"2003.02.07","2367820"
"2003.02.10","2366930"
"2003.02.11","2362080"
"2003.02.12","2392450"
"2003.02.13","2360980"
"2003.02.14","2359960"
"2003.02.17","2469840"
"2003.02.18","2476930"
"2003.02.19","2466410"
"2003.02.20","2485960"
"2003.02.21","2478490"
"2003.02.24","2530030"
"2003.02.25","2431270"
"2003.02.26","2423150"
"2003.02.27","2392610"
"2003.02.28","2363380"
"2003.03.03","2423900"
"2003.03.04","2368460"
"2003.03.05","2301330"
"2003.03.06","2280960"
"2003.03.07","2247750"
"2003.03.10","2241120"
"2003.03.11","2194370"
"2003.03.12","2192350"
"2003.03.13","2190460"
"2003.03.14","2215910"
"2003.03.17","2123860"
"2003.03.18","2214910"
"2003.03.19","2233490"
"2003.03.20","2343720"
"2003.03.21","2373570"
"2003.03.24","2349430"
"2003.03.25","2288110"
"2003.03.26","2287410"
"2003.03.27","2264960"
"2003.03.28","2293120"
"2003.03.31","2208910"
"2003.04.01","2220200"
"2003.04.02","2237660"
"2003.04.03","2247080"
"2003.04.04","2299970"
"2003.04.07","2415540"
"2003.04.08","2420470"
"2003.04.09","2346920"
"2003.04.10","2380600"
"2003.04.11","2401520"
"2003.04.14","2448530"
"2003.04.15","2492780"
"2003.04.16","2559460"
"2003.04.17","2524300"
"2003.04.18","2574230"
"2003.04.21","2567270"
"2003.04.22","2495010"
"2003.04.23","2474110"
"2003.04.24","2434090"
"2003.04.25","2344430"
"2003.04.28","2354320"
"2003.04.29","2470820"
"2003.04.30","2479220"
"2003.05.02","2471630"
"2003.05.06","2499910"
"2003.05.07","2556500"
"2003.05.09","2549820"
"2003.05.12","2600230"
"2003.05.13","2531040"
"2003.05.14","2514080"
"2003.05.15","2552940"
"2003.05.16","2518050"
"2003.05.19","2458920"
"2003.05.20","2482820"
"2003.05.21","2475910"
"2003.05.22","2459180"
"2003.05.23","2525990"
"2003.05.26","2551240"
"2003.05.27","2536770"
"2003.05.28","2593760"
"2003.05.29","2610410"
"2003.05.30","2613990"
"2003.06.02","2677920"
"2003.06.03","2629600"
"2003.06.04","2643810"
"2003.06.05","2653840"
"2003.06.09","2687670"
"2003.06.10","2685390"
"2003.06.11","2691740"
"2003.06.12","2718330"
"2003.06.13","2747580"
"2003.06.16","2718580"
"2003.06.17","2787520"
"2003.06.18","2794440"
"2003.06.19","2855900"
"2003.06.20","2838370"
"2003.06.23","2788990"
"2003.06.24","2744960"
"2003.06.25","2796560"
"2003.06.26","2802570"
"2003.06.27","2809230"
"2003.06.30","2780000"
"2003.07.01","2802160"
"2003.07.02","2850370"
"2003.07.03","2862900"
"2003.07.04","2890110"
"2003.07.07","2935740"
"2003.07.08","2952100"
"2003.07.09","2940590"
"2003.07.10","2920490"
"2003.07.11","2935470"
"2003.07.14","3003630"
"2003.07.15","2976470"
"2003.07.16","2990180"
"2003.07.18","2915590"
"2003.07.21","2890210"
"2003.07.22","2916440"
"2003.07.23","2898960"
"2003.07.24","2928130"
"2003.07.25","2937450"
"2003.07.28","2990270"
"2003.07.29","3009570"
"2003.07.30","2966690"
"2003.07.31","2964720"
"2003.08.01","3023970"
"2003.08.04","2987940"
"2003.08.05","3002510"
"2003.08.06","2943730"
"2003.08.07","2951630"
"2003.08.08","2927690"
"2003.08.11","2929800"
"2003.08.12","2916940"
"2003.08.13","2974390"
"2003.08.14","3032560"
"2003.08.18","3045730"
"2003.08.19","3087170"
"2003.08.20","3076320"
"2003.08.21","3148630"
"2003.08.22","3150650"
"2003.08.25","3154580"
"2003.08.26","3138830"
"2003.08.27","3162660"
"2003.08.28","3135680"
"2003.08.29","3163940"
"2003.09.01","3187310"
"2003.09.02","3197420"
"2003.09.03","3196310"
"2003.09.04","3214510"
"2003.09.05","3203950"
"2003.09.08","3199200"
"2003.09.09","3230810"
"2003.09.15","3170510"
"2003.09.16","3212770"
"2003.09.17","3232570"
"2003.09.18","3196090"
"2003.09.19","3153710"
"2003.09.22","3013110"
"2003.09.23","3028730"
"2003.09.24","3053850"
"2003.09.25","3006570"
"2003.09.26","2939120"
"2003.09.29","2933410"
"2003.09.30","2941390"
"2003.10.01","2970160"
"2003.10.02","3017610"
"2003.10.06","3052320"
"2003.10.07","3069080"
"2003.10.08","3050700"
"2003.10.09","3106510"
"2003.10.10","3200240"
"2003.10.13","3197280"
"2003.10.14","3236960"
"2003.10.15","3229240"
"2003.10.16","3283250"
"2003.10.17","3244610"
"2003.10.20","3281030"
"2003.10.21","3296050"
"2003.10.22","3294610"
"2003.10.23","3188830"
"2003.10.24","3163600"
"2003.10.27","3222900"
"2003.10.28","3282050"
"2003.10.29","3299970"
"2003.10.30","3327050"
"2003.10.31","3313220"
"2003.11.03","3365940"
"2003.11.04","3385520"
"2003.11.05","3424510"
"2003.11.06","3358760"
"2003.11.07","3417790"
"2003.11.10","3385800"
"2003.11.11","3396330"
"2003.11.12","3433550"
