"¿ù°£","WTI","Dubai","Brent","±Ý"
"1995.01",18.39,16.53,17.05,375.1
"1995.02",18.49,16.47,17.22,377.1
"1995.03",19.17,16.89,18,391.4
"1995.04",20.38,17.94,19.31,387.1
"1995.05",18.89,16.67,17.67,384.3
"1995.06",17.4,15.34,16.47,384.6
"1995.07",17.56,15.1,15.83,382.6
"1995.08",17.84,15.45,16.2,382.75
"1995.09",17.54,15.05,16.48,384
"1995.10",17.64,15.6,16.53,383
"1995.11",18.18,16.07,17.22,387.8
"1995.12",19.55,17.08,18.78,387.1
"1996.01",17.74,15.56,16.64,406.3
"1996.02",19.54,16.27,18.74,400.75
"1996.03",21.47,17.28,20.41,395.45
"1996.04",21.2,17.06,19.22,391.65
"1996.05",19.76,16.61,17.9,391
"1996.06",20.92,17.06,18.71,380.45
"1996.07",20.42,17.62,19.06,387.05
"1996.08",22.25,18.58,20.4,386.5
"1996.09",24.38,20.46,22.67,378.4
"1996.10",23.35,20.14,21.82,378.05
"1996.11",23.75,21.04,23.12,371.65
"1996.12",25.92,21.54,23.56,367.7
"1997.01",24.15,20.59,22.82,344.35
"1997.02",20.3,17,19.4,363.45
"1997.03",20.41,18.13,18.58,351.25
"1997.04",20.21,17.67,18.21,339.5
"1997.05",20.88,19.17,19.2,344.65
"1997.06",19.8,17.49,18.26,333.95
"1997.07",20.14,18.04,19.12,324.55
"1997.08",19.61,17.62,18.25,324.15
"1997.09",21.18,18.81,19.86,334.45
"1997.10",21.08,19.17,19.52,311.45
"1997.11",19.15,17.96,18.97,297
"1997.12",17.64,15.04,15.94,289.05
"1998.01",17.21,12.78,15.57,302.45
"1998.02",15.5,11.72,13.42,299.15
"1998.03",15.7,12.24,13.77,300.95
"1998.04",15.48,12.1,13.99,306.65
"1998.05",15.23,12.49,14.12,292.95
"1998.06",14.26,11.64,11.88,296.95
"1998.07",14.26,12.5,12.55,286.45
"1998.08",13.38,12.45,11.95,275.55
"1998.09",16.17,14.32,14.78,296.95
"1998.10",14.45,12.69,12.31,292.55
"1998.11",11.26,9.94,10.06,293.2
"1998.12",12.09,10.46,10.57,288.25
"1999.01",12.76,10.88,11.47,286.15
"1999.02",12.28,10.13,10.48,287.05
"1999.03",16.76,14.76,15.09,280.05
"1999.04",18.66,16.14,16.71,286.55
"1999.05",16.84,14.85,14.75,270.35
"1999.06",19.29,16.61,17.07,262.5
"1999.07",20.53,18.37,19.2,255.95
"1999.08",22.11,20.48,21.03,255.68
"1999.09",24.51,22.56,22.81,298.75
"1999.10",21.75,20.79,21.15,299.2
"1999.11",24.59,22.24,24.39,290.7
"1999.12",25.6,23.28,24.89,288
"2000.01",27.64,23.97,26.92,283.5
"2000.02",30.43,25.29,29.04,292.2
"2000.03",26.9,23.72,24.12,279.08
"2000.04",25.74,22.79,23.43,273.55
"2000.05",29.01,25.51,29.03,272.1
"2000.06",32.5,27.52,31.32,289.52
"2000.07",27.43,24.17,25.43,277.25
"2000.08",33.12,28.87,34.88,277.85
"2000.09",30.84,28.29,28.62,274.25
"2000.10",32.7,29.99,30.65,265.15
"2000.11",33.82,28.01,31.73,270.45
"2000.12",26.8,20.07,22.54,272.25
"2001.01",28.66,23.36,26.68,265.85
"2001.02",27.4,22.97,24.73,267.15
"2001.03",26.3,22.66,23.63,257.95
"2001.04",28.46,24.67,23.63,264.05
"2001.05",28.37,27.42,29.21,265.85
"2001.06",26.26,24.48,26.45,270.85
"2001.07",26.35,23.2,24.25,266.65
"2001.08",27.2,24.24,26.71,274.4
"2001.09",23.43,21.51,21.96,293.25
"2001.10",21.18,18.74,19.79,279.65
"2001.11",19.44,17.88,19.29,274.4
"2001.12",19.84,18.28,19.3,278.95
"2002.01",19.48,18.18,19.41,282.55
"2002.02",21.74,20.11,21.07,296.55
"2002.03",26.31,24.36,25.6,302.65
"2002.04",27.29,25.21,27.01,308.45
"2002.05",25.31,23.73,23.89,326.55
"2002.06",26.86,24.56,25.44,314.45
"2002.07",27.02,24.78,25.85,303.55
"2002.08",28.98,26.36,27.38,312.75
"2002.09",30.45,27.18,28.87,323.55
"2002.10",27.22,24.34,25.68,317.75
"2002.11",26.89,24.07,25.2,318.15
"2002.12",31.2,26.24,29.99,348.05
"2003.01",33.51,29.29,31.45,368.15
"2003.02",36.6,30.28,33.91,349.95
"2003.03",31.04,24.63,27.98,337.45
"2003.04",25.8,22.78,23.59,338.55
"2003.05",29.56,25.24,26.8,364.45
"2003.06",30.19,26.1,28.16,346.4
"2003.07",30.54,26.88,28.59,354.35
"2003.08",31.57,27.58,30.05,375.55
"2003.09",29.2,25.5,28.34,385.35
"2003.10",29.11,26.35,27.94,384.25
"2003.11",30.41,27.51,28.76,398.15
"2003.12",32.52,27.9,30.48,415.45
"2004.01",33.05,27.76,29.51,402.45
"2004.02",36.16,29.16,33.01,396.15
"2004.03",35.76,30.79,32.36,426.45
"2004.04",37.38,32.75,35.12,386.75
"2004.05",39.88,34.93,36.98,395.55
"2004.06",37.05,31.32,33.51,394.25
"2004.07",43.8,35.93,41.6,391.05
"2004.08",42.12,36.15,39.33,409.85
"2004.09",49.64,37.66,47.08,418.25
"2004.10",51.76,36.17,48.78,428.55
"2004.11",49.13,36.12,44.03,450.95
"2004.12",43.45,33.11,40.24,438.45
"2005.01",48.2,37.51,45.87,422.6
"2005.02",51.75,42.45,50.14,435.65
"2005.03",55.4,45.91,53.05,428.35
"2005.04",49.72,46.11,49.33,434.39
"2005.05",51.97,46.26,49.83,417.25
"2005.06",56.5,52.09,54.85,435.5
"2005.07",60.57,53.79,59.7,429.8
"2005.08",68.94,58.82,66.68,435.2
"2005.09",66.24,56.32,62.56,469.3
"2005.10",59.76,51.87,58.35,465.18
"2005.11",57.32,50.18,53.41,493.08
"2005.12",61.04,53.19,58.87,517
"2006.01",67.92,59.97,65.43,568.9
"2006.02",61.41,56.76,60.05,561.55
"2006.03",66.63,59.16,64.94,583.65
"2006.04",71.88,65.48,72,654.42
"2006.05",71.29,64.71,69,645.2
"2006.06",73.93,67.17,73.28,615.85
"2006.07",74.4,67.76,75.16,636.74
"2006.08",70.26,65.99,69.64,627.3
"2006.09",62.91,57.33,61.37,598.3
"2006.10",58.73,56.45,56.97,606.6
"2006.11",63.13,59.1,64.42,648
"2006.12",61.05,56.71,60.13,636.7
"2007.01",58.14,53.19,57.21,653.2
"2007.02",61.79,58.59,60.66,669.35
"2007.03",65.87,63.12,68.42,663.79
"2007.04",65.71,64.82,66.99,678.45
"2007.05",64.01,63.05,68.45,660.5
"2007.06",70.68,66.42,72.82,649.65
"2007.07",78.21,69.44,77.82,664.3
"2007.08",74.04,67.72,72.06,673.4
"2007.09",81.66,76.64,79.4,743.6
"2007.10",94.53,81.24,90.29,796.59
