통계표,"6.1.1 주식시장(일별)"
항목명1,"  시가총액(주식시장, 잠정치)"
단위,"억원 "
변환,"원자료"
2003/01/02,"2,618,570"
2003/01/03,"2,726,580"
2003/01/06,"2,748,210"
2003/01/07,"2,689,030"
2003/01/08,"2,687,120"
2003/01/09,"2,592,000"
2003/01/10,"2,583,480"
2003/01/13,"2,664,080"
2003/01/14,"2,671,420"
2003/01/15,"2,653,820"
2003/01/16,"2,655,920"
2003/01/17,"2,606,640"
2003/01/20,"2,598,510"
2003/01/21,"2,591,730"
2003/01/22,"2,548,160"
2003/01/23,"2,559,610"
2003/01/24,"2,497,240"
2003/01/27,"2,431,560"
2003/01/28,"2,463,140"
2003/01/29,"2,392,610"
2003/01/30,"2,427,550"
2003/02/03,"2,463,160"
2003/02/04,"2,476,750"
2003/02/05,"2,463,940"
2003/02/06,"2,417,620"
2003/02/07,"2,367,820"
2003/02/10,"2,366,930"
2003/02/11,"2,362,080"
2003/02/12,"2,392,450"
2003/02/13,"2,360,980"
2003/02/14,"2,359,960"
2003/02/17,"2,469,840"
2003/02/18,"2,476,930"
2003/02/19,"2,466,410"
2003/02/20,"2,485,960"
2003/02/21,"2,478,490"
2003/02/24,"2,530,030"
2003/02/25,"2,431,270"
2003/02/26,"2,423,150"
2003/02/27,"2,392,610"
2003/02/28,"2,363,380"
2003/03/03,"2,423,900"
2003/03/04,"2,368,460"
2003/03/05,"2,301,330"
2003/03/06,"2,280,960"
2003/03/07,"2,247,750"
2003/03/10,"2,241,120"
2003/03/11,"2,194,370"
2003/03/12,"2,192,350"
2003/03/13,"2,190,460"
2003/03/14,"2,215,910"
2003/03/17,"2,123,860"
2003/03/18,"2,214,910"
2003/03/19,"2,233,490"
2003/03/20,"2,343,720"
2003/03/21,"2,373,570"
2003/03/24,"2,349,430"
2003/03/25,"2,288,110"
2003/03/26,"2,287,410"
2003/03/27,"2,264,960"
2003/03/28,"2,293,120"
2003/03/31,"2,208,910"
2003/04/01,"2,220,200"
2003/04/02,"2,237,660"
2003/04/03,"2,247,080"
2003/04/04,"2,299,970"
