통계표,"18.1.6.3 국제상품가격","18.1.6.3 국제상품가격","18.1.6.3 국제상품가격","18.1.6.3 국제상품가격"
항목명1,"WTI(현물)","Dubai(현물)","Brent(현물)","금(현물)"
단위,"U$/bbl","U$/bbl","U$/bbl","$/OZ"
변환,"원자료","원자료","원자료","원자료"
1995/01,"18.39","16.53","17.05","375.100"
1995/02,"18.49","16.47","17.22","377.100"
1995/03,"19.17","16.89","18.00","391.400"
1995/04,"20.38","17.94","19.31","387.100"
1995/05,"18.89","16.67","17.67","384.300"
1995/06,"17.40","15.34","16.47","384.600"
1995/07,"17.56","15.10","15.83","382.600"
1995/08,"17.84","15.45","16.20","382.750"
1995/09,"17.54","15.05","16.48","384.000"
1995/10,"17.64","15.60","16.53","383.000"
1995/11,"18.18","16.07","17.22","387.800"
1995/12,"19.55","17.08","18.78","387.100"
1996/01,"17.74","15.56","16.64","406.300"
1996/02,"19.54","16.27","18.74","400.750"
1996/03,"21.47","17.28","20.41","395.450"
1996/04,"21.20","17.06","19.22","391.650"
1996/05,"19.76","16.61","17.90","391.000"
1996/06,"20.92","17.06","18.71","380.450"
1996/07,"20.42","17.62","19.06","387.050"
1996/08,"22.25","18.58","20.40","386.500"
1996/09,"24.38","20.46","22.67","378.400"
1996/10,"23.35","20.14","21.82","378.050"
1996/11,"23.75","21.04","23.12","371.650"
1996/12,"25.92","21.54","23.56","367.700"
1997/01,"24.15","20.59","22.82","344.350"
1997/02,"20.30","17.00","19.40","363.450"
1997/03,"20.41","18.13","18.58","351.250"
1997/04,"20.21","17.67","18.21","339.500"
1997/05,"20.88","19.17","19.20","344.650"
1997/06,"19.80","17.49","18.26","333.950"
1997/07,"20.14","18.04","19.12","324.550"
1997/08,"19.61","17.62","18.25","324.150"
1997/09,"21.18","18.81","19.86","334.450"
1997/10,"21.08","19.17","19.52","311.450"
1997/11,"19.15","17.96","18.97","297.000"
1997/12,"17.64","15.04","15.94","289.050"
1998/01,"17.21","12.78","15.57","302.450"
1998/02,"15.50","11.72","13.42","299.150"
1998/03,"15.70","12.24","13.77","300.950"
1998/04,"15.48","12.10","13.99","306.650"
1998/05,"15.23","12.49","14.12","292.950"
1998/06,"14.26","11.64","11.88","296.950"
1998/07,"14.26","12.50","12.55","286.450"
1998/08,"13.38","12.45","11.95","275.550"
1998/09,"16.17","14.32","14.78","296.950"
1998/10,"14.45","12.69","12.31","292.550"
1998/11,"11.26","9.94","10.06","293.200"
1998/12,"12.09","10.46","10.57","288.250"
1999/01,"12.76","10.88","11.47","286.150"
1999/02,"12.28","10.13","10.48","287.050"
1999/03,"16.76","14.76","15.09","280.050"
1999/04,"18.66","16.14","16.71","286.550"
1999/05,"16.84","14.85","14.75","270.350"
1999/06,"19.29","16.61","17.07","262.500"
1999/07,"20.53","18.37","19.20","255.950"
1999/08,"22.11","20.48","21.03","255.680"
1999/09,"24.51","22.56","22.81","298.750"
1999/10,"21.75","20.79","21.15","299.200"
1999/11,"24.59","22.24","24.39","290.700"
1999/12,"25.60","23.28","24.89","288.000"
2000/01,"27.64","23.97","26.92","283.500"
2000/02,"30.43","25.29","29.04","292.200"
2000/03,"26.90","23.72","24.12","279.080"
2000/04,"25.74","22.79","23.43","273.550"
2000/05,"29.01","25.51","29.03","272.100"
2000/06,"32.50","27.52","31.32","289.520"
2000/07,"27.43","24.17","25.43","277.250"
2000/08,"33.12","28.87","34.88","277.850"
2000/09,"30.84","28.29","28.62","274.250"
2000/10,"32.70","29.99","30.65","265.150"
2000/11,"33.82","28.01","31.73","270.450"
2000/12,"26.80","20.07","22.54","272.250"
2001/01,"28.66","23.36","26.68","265.850"
2001/02,"27.40","22.97","24.73","267.150"
