통계표,"8.1.1 국제수지"
항목명1,"경상수지"
단위,"백만달러 "
변환,"원자료"
1980/01,"-609.4"
1980/02,"-548.1"
1980/03,"-676.8"
1980/04,"-637.1"
1980/05,"-541.2"
1980/06,"-468.5"
1980/07,"-630.4"
1980/08,"-516.9"
1980/09,"-428.5"
1980/10,"-487.5"
1980/11,"-501.3"
1980/12,"-850.3"
1981/01,"-335.1"
1981/02,"-507.7"
1981/03,"-478.9"
1981/04,"-612.8"
1981/05,"-750.6"
1981/06,"-350.2"
1981/07,"-663.1"
1981/08,"-493.4"
1981/09,"-393.7"
1981/10,"-219.5"
1981/11,"-622.7"
1981/12,"-1,059.4"
1982/01,"-344.9"
1982/02,"-106.2"
1982/03,"-278.1"
1982/04,"-415.3"
1982/05,"-187.4"
1982/06,"-634.6"
1982/07,"-292.5"
1982/08,"-526.4"
1982/09,"-562.1"
1982/10,"-780.6"
1982/11,"-786.1"
1982/12,"-716.8"
1983/01,"-476.6"
1983/02,"-621.7"
1983/03,"-347.3"
1983/04,"-26.5"
1983/05,"-437.5"
1983/06,"-535.0"
1983/07,"47.1"
1983/08,"-86.4"
1983/09,"-136.9"
1983/10,"-366.1"
1983/11,"-75.7"
1983/12,"-530.9"
1984/01,"-273.5"
1984/02,"-129.1"
1984/03,"-89.0"
1984/04,"-279.3"
1984/05,"-361.3"
1984/06,"-347.6"
1984/07,"-190.0"
1984/08,"-123.1"
1984/09,"-14.3"
1984/10,"73.8"
1984/11,"-175.4"
1984/12,"61.4"
1985/01,"-563.5"
1985/02,"-169.9"
1985/03,"-34.3"
1985/04,"-326.0"
1985/05,"-270.9"
1985/06,"-159.7"
1985/07,"-54.4"
1985/08,"-201.1"
1985/09,"93.7"
1985/10,"-371.7"
1985/11,"-456.9"
1985/12,"336.7"
1986/01,"-541.9"
1986/02,"-290.0"
1986/03,"111.0"
1986/04,"236.0"
1986/05,"-41.7"
1986/06,"224.7"
1986/07,"401.0"
1986/08,"525.5"
1986/09,"573.0"
1986/10,"467.3"
1986/11,"755.0"
1986/12,"186.8"
1987/01,"584.8"
1987/02,"543.9"
1987/03,"650.2"
1987/04,"510.8"
1987/05,"735.0"
1987/06,"914.7"
1987/07,"1,017.1"
1987/08,"252.2"
1987/09,"952.4"
1987/10,"630.3"
1987/11,"953.6"
1987/12,"886.2"
1988/01,"702.2"
1988/02,"883.1"
1988/03,"1,137.8"
1988/04,"766.4"
1988/05,"813.3"
1988/06,"1,161.8"
1988/07,"1,152.1"
1988/08,"722.8"
1988/09,"1,328.2"
1988/10,"1,163.7"
1988/11,"1,251.2"
1988/12,"1,675.1"
1989/01,"409.9"
1989/02,"375.7"
1989/03,"492.6"
1989/04,"348.0"
1989/05,"265.8"
1989/06,"342.8"
1989/07,"354.4"
1989/08,"-229.2"
1989/09,"627.5"
1989/10,"2.4"
1989/11,"99.3"
1989/12,"677.2"
