통계표,"4.1.2 시장금리(월,분기,년)"
항목명1,"국고채(1년)"
단위,"연%"
변환,"원자료"
2000/01,""
2000/02,"8.530"
2000/03,"8.350"
2000/04,"8.340"
2000/05,"8.340"
2000/06,"8.240"
2000/07,"7.560"
2000/08,"7.200"
2000/09,"7.260"
2000/10,"7.130"
2000/11,"6.960"
2000/12,"6.670"
2001/01,"6.040"
2001/02,"5.510"
2001/03,"5.810"
2001/04,"6.200"
2001/05,"6.100"
2001/06,"5.800"
2001/07,"5.470"
2001/08,"5.050"
2001/09,"4.750"
2001/10,"4.420"
2001/11,"4.880"
2001/12,"5.340"
2002/01,"5.230"
2002/02,"4.960"
2002/03,"5.260"
2002/04,"5.420"
2002/05,"5.420"
2002/06,"5.380"
2002/07,"5.340"
2002/08,"5.040"
2002/09,"5.030"
2002/10,"5.140"
2002/11,"5.040"
2002/12,"5.030"
2003/01,"4.790"
2003/02,"4.630"
2003/03,"4.720"
2003/04,"4.600"
2003/05,"4.300"
2003/06,"4.280"
2003/07,"4.270"
2003/08,"4.150"
2003/09,"4.070"
2003/10,"4.110"
2003/11,"4.470"
2003/12,"4.670"
2004/01,"4.600"
2004/02,"4.420"
2004/03,"4.250"
2004/04,"4.130"
2004/05,"4.070"
2004/06,"4.120"
2004/07,"4.060"
2004/08,"3.730"
2004/09,"3.500"
2004/10,"3.480"
2004/11,"3.340"
2004/12,"3.280"
2005/01,"3.480"
2005/02,"3.480"
2005/03,"3.820"
2005/04,"3.710"
2005/05,"3.600"
2005/06,"3.660"
2005/07,"3.770"
2005/08,"3.880"
2005/09,"4.190"
2005/10,"4.440"
2005/11,"4.570"
2005/12,"4.670"
2006/01,"4.620"
2006/02,"4.570"
2006/03,"4.570"
2006/04,"4.610"
2006/05,"4.590"
2006/06,"4.700"
2006/07,"4.820"
2006/08,"4.760"
2006/09,"4.680"
2006/10,"4.640"
2006/11,"4.700"
2006/12,"4.850"
2007/01,"4.980"
2007/02,"4.960"
2007/03,"4.890"
2007/04,"4.970"
2007/05,"5.110"
2007/06,"5.150"
2007/07,"5.290"
2007/08,"5.300"
2007/09,"5.390"
2007/10,"5.340"
2007/11,"5.360"
2007/12,"5.600"
2008/01,"5.470"
2008/02,"5.000"
2008/03,"5.050"
2008/04,"5.060"
2008/05,"5.070"
2008/06,"5.220"
2008/07,"5.410"
2008/08,"5.440"
2008/09,"5.480"
2008/10,"5.200"
2008/11,"5.030"
2008/12,"3.990"
2009/01,"2.720"
2009/02,"2.360"
2009/03,"2.510"
2009/04,"2.490"
2009/05,"2.560"
2009/06,"2.850"
2009/07,"2.750"
2009/08,"3.140"
2009/09,"3.440"
2009/10,"3.520"
2009/11,"3.280"
2009/12,"3.300"
2010/01,"3.290"
2010/02,"3.120"
2010/03,"2.830"
2010/04,"2.670"
2010/05,"2.730"
2010/06,"2.920"
2010/07,"3.140"
2010/08,"3.130"
2010/09,"2.990"
2010/10,"2.800"
2010/11,"2.920"
2010/12,"2.870"
2011/01,"3.090"
2011/02,"3.390"
2011/03,"3.420"
2011/04,"3.430"
2011/05,"3.430"
2011/06,"3.490"
2011/07,"3.590"
2011/08,"3.500"
2011/09,"3.410"
2011/10,"3.460"
2011/11,"3.420"
2011/12,"3.400"
2012/01,"3.390"
2012/02,"3.410"
2012/03,"3.470"
2012/04,"3.450"
2012/05,"3.370"
2012/06,"3.290"
2012/07,"3.020"
2012/08,"2.840"
2012/09,"2.850"
2012/10,"2.810"
2012/11,"2.790"
2012/12,"2.800"
2013/01,"2.720"
2013/02,"2.680"
2013/03,"2.600"
2013/04,"2.580"
2013/05,"2.590"
2013/06,"2.660"
2013/07,"2.660"
2013/08,"2.660"
2013/09,"2.670"
2013/10,"2.660"
2013/11,"2.705"
2013/12,"2.685"
2014/01,"2.657"
2014/02,"2.640"
2014/03,"2.659"
2014/04,"2.653"
2014/05,"2.641"
2014/06,"2.602"
2014/07,"2.488"
2014/08,"2.389"
2014/09,"2.277"
2014/10,"2.134"
2014/11,"2.047"
2014/12,"2.072"
2015/01,"1.995"
2015/02,"1.981"
2015/03,"1.838"
2015/04,"1.703"
2015/05,"1.746"
2015/06,"1.630"
2015/07,"1.597"
2015/08,"1.582"
2015/09,"1.553"
2015/10,"1.546"
2015/11,"1.631"
2015/12,"1.635"
2016/01,"1.587"
2016/02,"1.469"
2016/03,"1.507"
2016/04,"1.493"
2016/05,"1.480"
2016/06,"1.361"
2016/07,"1.260"
