"기간","자치구","총인구","남성","여성"
"2016.1/4","종로구",163993,80548,83445
"2016.1/4","중구",134436,66747,67689
"2016.1/4","용산구",247297,120607,126690
"2016.1/4","성동구",304565,151019,153546
"2016.1/4","광진구",374798,182951,191847
"2016.1/4","동대문구",373657,185627,188030
"2016.1/4","중랑구",418341,208235,210106
"2016.1/4","성북구",468699,228530,240169
"2016.1/4","강북구",333615,163819,169796
"2016.1/4","도봉구",352521,173342,179179
"2016.1/4","노원구",577805,281431,296374
"2016.1/4","은평구",501242,244103,257139
"2016.1/4","서대문구",326746,157763,168983
"2016.1/4","마포구",397575,190413,207162
"2016.1/4","양천구",487368,241190,246178
"2016.1/4","강서구",597473,291883,305590
"2016.1/4","구로구",454252,227913,226339
"2016.1/4","금천구",255274,130794,124480
"2016.1/4","영등포구",417209,209941,207268
"2016.1/4","동작구",413282,202397,210885
"2016.1/4","관악구",530072,267390,262682
"2016.1/4","서초구",450085,216403,233682
"2016.1/4","강남구",578862,277575,301287
"2016.1/4","송파구",663904,324076,339828
"2016.1/4","강동구",459750,228978,230772
"2016.2/4","종로구",163235,80127,83108
"2016.2/4","중구",134175,66582,67593
"2016.2/4","용산구",246934,120512,126422
"2016.2/4","성동구",305525,151449,154076
"2016.2/4","광진구",374053,182418,191635
"2016.2/4","동대문구",372214,184750,187464
"2016.2/4","중랑구",418134,208143,209991
"2016.2/4","성북구",467142,227567,239575
"2016.2/4","강북구",332737,163273,169464
"2016.2/4","도봉구",352164,173132,179032
"2016.2/4","노원구",576782,280787,295995
"2016.2/4","은평구",499850,243290,256560
"2016.2/4","서대문구",327113,157694,169419
"2016.2/4","마포구",395687,189332,206355
"2016.2/4","양천구",486258,240489,245769
"2016.2/4","강서구",598190,292094,306096
"2016.2/4","구로구",453526,227382,226144
"2016.2/4","금천구",254662,130461,124201
"2016.2/4","영등포구",414901,208870,206031
"2016.2/4","동작구",413969,202553,211416
"2016.2/4","관악구",529254,266960,262294
"2016.2/4","서초구",450005,216309,233696
"2016.2/4","강남구",576413,276311,300102
"2016.2/4","송파구",662605,323355,339250
"2016.2/4","강동구",455444,226686,228758
"2016.3/4","종로구",162957,79838,83119
"2016.3/4","중구",134463,66701,67762
"2016.3/4","용산구",246317,120244,126073
"2016.3/4","성동구",305506,151346,154160
"2016.3/4","광진구",373680,182184,191496
"2016.3/4","동대문구",371253,184089,187164
"2016.3/4","중랑구",416887,207523,209364
"2016.3/4","성북구",464505,226082,238423
"2016.3/4","강북구",332116,162917,169199
"2016.3/4","도봉구",351253,172546,178707
"2016.3/4","노원구",574498,279512,294986
"2016.3/4","은평구",498514,242447,256067
"2016.3/4","서대문구",326359,156959,169400
"2016.3/4","마포구",393766,188288,205478
"2016.3/4","양천구",485505,239986,245519
"2016.3/4","강서구",599611,292646,306965
"2016.3/4","구로구",451754,226492,225262
"2016.3/4","금천구",253667,129931,123736
"2016.3/4","영등포구",410757,206795,203962
"2016.3/4","동작구",414261,202623,211638
"2016.3/4","관악구",528187,266531,261656
"2016.3/4","서초구",450906,216647,234259
"2016.3/4","강남구",574974,275494,299480
"2016.3/4","송파구",662413,323007,339406
"2016.3/4","강동구",452299,225015,227284
"2016.4/4","종로구",161922,79322,82600
"2016.4/4","중구",134409,66452,67957
"2016.4/4","용산구",245102,119636,125466
"2016.4/4","성동구",307161,152006,155155
"2016.4/4","광진구",372104,181251,190853
"2016.4/4","동대문구",370312,183444,186868
"2016.4/4","중랑구",415677,206772,208905
"2016.4/4","성북구",461617,224504,237113
"2016.4/4","강북구",330704,162211,168493
"2016.4/4","도봉구",350272,172006,178266
"2016.4/4","노원구",571212,277866,293346
"2016.4/4","은평구",495937,241048,254889
"2016.4/4","서대문구",325871,156597,169274
"2016.4/4","마포구",390887,186668,204219
"2016.4/4","양천구",481845,238163,243682
"2016.4/4","강서구",602104,293734,308370
"2016.4/4","구로구",449600,225411,224189
"2016.4/4","금천구",254654,130429,124225
"2016.4/4","영등포구",406779,204712,202067
"2016.4/4","동작구",413247,201842,211405
"2016.4/4","관악구",525607,265034,260573
"2016.4/4","서초구",451477,216886,234591
"2016.4/4","강남구",572140,274217,297923
"2016.4/4","송파구",664946,324087,340859
"2016.4/4","강동구",448471,223081,225390
"2017.1/4","종로구",162820,79675,83145
"2017.1/4","중구",133240,65790,67450
"2017.1/4","용산구",244203,119132,125071
"2017.1/4","성동구",311244,153768,157476
"2017.1/4","광진구",372164,180992,191172
"2017.1/4","동대문구",369496,182932,186564
"2017.1/4","중랑구",414503,206102,208401
"2017.1/4","성북구",461260,224076,237184
"2017.1/4","강북구",330192,161686,168506
"2017.1/4","도봉구",348646,171026,177620
"2017.1/4","노원구",569384,276823,292561
"2017.1/4","은평구",494388,240220,254168
"2017.1/4","서대문구",327163,156765,170398
"2017.1/4","마포구",389649,185889,203760
"2017.1/4","양천구",479978,237117,242861
"2017.1/4","강서구",603772,294433,309339
"2017.1/4","구로구",447874,224436,223438
"2017.1/4","금천구",255082,130558,124524
"2017.1/4","영등포구",402985,202573,200412
"2017.1/4","동작구",412520,201217,211303
"2017.1/4","관악구",525515,264763,260752
"2017.1/4","서초구",450310,216264,234046
"2017.1/4","강남구",570500,273301,297199
"2017.1/4","송파구",667483,325040,342443
"2017.1/4","강동구",453233,225427,227806
"2017.2/4","종로구",163521,79905,83616
"2017.2/4","중구",132838,65445,67393
"2017.2/4","용산구",243406,118830,124576
"2017.2/4","성동구",311831,153799,158032
"2017.2/4","광진구",371728,180712,191016
"2017.2/4","동대문구",368050,182252,185798
"2017.2/4","중랑구",414783,206128,208655
"2017.2/4","성북구",459276,223155,236121
"2017.2/4","강북구",330004,161387,168617
"2017.2/4","도봉구",347941,170563,177378
"2017.2/4","노원구",566411,275299,291112
"2017.2/4","은평구",492835,239289,253546
"2017.2/4","서대문구",326412,156412,170000
"2017.2/4","마포구",388574,185105,203469
"2017.2/4","양천구",478119,236014,242105
"2017.2/4","강서구",606823,295845,310978
