"기간","자치구","총인구","여성","남성"
2016,"강남구",2302389,1198792,1103597
2016,"강동구",1815964,912204,903760
2016,"강북구",1329172,676952,652220
2016,"강서구",2397378,1227021,1170357
2016,"관악구",2113120,1047205,1065915
2016,"광진구",1494635,765831,728804
2016,"구로구",1809132,901934,907198
2016,"금천구",1018257,496642,521615
2016,"노원구",2300297,1180701,1119596
2016,"도봉구",1406210,715184,691026
2016,"동대문구",1487436,749526,737910
2016,"동작구",1654759,845344,809415
2016,"마포구",1577915,823214,754701
2016,"서대문구",1306089,677076,629013
2016,"서초구",1802473,936228,866245
2016,"성동구",1222757,616937,605820
2016,"성북구",1861963,955280,906683
2016,"송파구",2653868,1359343,1294525
2016,"양천구",1940976,981148,959828
2016,"영등포구",1649646,819328,830318
2016,"용산구",985650,504651,480999
2016,"은평구",1995543,1024655,970888
2016,"종로구",652107,332272,319835
2016,"중구",537483,271001,266482
2016,"중랑구",1669039,838366,830673
2017,"강남구",2265708,1180054,1085654
2017,"강동구",1793412,902091,891321
2017,"강북구",1317240,673073,644167
2017,"강서구",2426727,1244117,1182610
2017,"관악구",2093152,1039409,1053743
2017,"광진구",1488604,765518,723086
2017,"구로구",1778491,887179,891312
2017,"금천구",1016930,496464,520466
2017,"노원구",2256148,1159789,1096359
2017,"도봉구",1390159,708883,681276
2017,"동대문구",1471326,742957,728369
2017,"동작구",1642933,842595,800338
2017,"마포구",1551782,813060,738722
2017,"서대문구",1305082,680585,624497
2017,"서초구",1790824,931827,858997
2017,"성동구",1248719,632822,615897
2017,"성북구",1834204,943396,890808
2017,"송파구",2674920,1373145,1301775
2017,"양천구",1909742,967086,942656
2017,"영등포구",1609884,800126,809758
2017,"용산구",975975,499534,476441
2017,"은평구",1970324,1013859,956465
2017,"종로구",655238,335391,319847
2017,"중구",534845,271209,263636
2017,"중랑구",1656620,833254,823366
2018,"강남구",2206461,1149475,1056986
2018,"강동구",1742187,878392,863795
2018,"강북구",1300765,665908,634857
2018,"강서구",2424021,1245285,1178736
2018,"관악구",2085977,1038667,1047310
2018,"광진구",1483252,764778,718474
2018,"구로구",1758421,876366,882055
2018,"금천구",1012476,493193,519283
2018,"노원구",2208209,1136863,1071346
2018,"도봉구",1373776,701892,671884
2018,"동대문구",1459928,738830,721098
2018,"동작구",1631300,838826,792474
2018,"마포구",1542522,812243,730279
2018,"서대문구",1293709,677061,616648
2018,"서초구",1768855,921407,847448
2018,"성동구",1264279,643596,620683
2018,"성북구",1802992,929819,873173
2018,"송파구",2692244,1384779,1307465
2018,"양천구",1882203,955110,927093
2018,"영등포구",1615813,802192,813621
2018,"용산구",980833,501289,479544
2018,"은평구",1954813,1008840,945973
2018,"종로구",654029,336088,317941
2018,"중구",541457,274974,266483
2018,"중랑구",1639053,825469,813584
2019,"강남구",2193729,1143254,1050475
2019,"강동구",1729060,874991,854069
2019,"강북구",1276098,654610,621488
2019,"강서구",2403629,1238211,1165418
2019,"관악구",2077796,1036893,1040903
2019,"광진구",1475437,763116,712321
2019,"구로구",1757438,877825,879613
2019,"금천구",1012993,493744,519249
2019,"노원구",2165221,1117063,1048158
2019,"도봉구",1352315,691601,660714
2019,"동대문구",1453165,737777,715388
2019,"동작구",1643430,848285,795145
2019,"마포구",1544086,817409,726677
2019,"서대문구",1296168,680859,615309
2019,"서초구",1743003,908586,834417
2019,"성동구",1247868,637835,610033
2019,"성북구",1811171,937579,873592
2019,"송파구",2738621,1411939,1326682
2019,"양천구",1857933,944820,913113
2019,"영등포구",1612249,802475,809774
2019,"용산구",980382,502180,478202
2019,"은평구",1947703,1008719,938984
2019,"종로구",650055,335697,314358
2019,"중구",545263,277771,267492
2019,"중랑구",1618650,816911,801739
2020,"강남구",2184196,1139110,1045086
2020,"강동구",1844862,937004,907858
2020,"강북구",1257264,645810,611454
2020,"강서구",2364343,1222108,1142235
2020,"관악구",2057338,1026767,1030571
2020,"광진구",1451947,753561,698386
2020,"구로구",1743254,873429,869825
2020,"금천구",999400,489246,510154
2020,"노원구",2125100,1099125,1025975
2020,"도봉구",1321900,677456,644444
2020,"동대문구",1438866,731672,707194
2020,"동작구",1620767,838254,782513
2020,"마포구",1536395,815656,720739
2020,"서대문구",1296911,681573,615338
2020,"서초구",1726883,900958,825925
2020,"성동구",1215244,622793,592451
2020,"성북구",1803749,936824,866925
2020,"송파구",2709549,1401426,1308123
2020,"양천구",1840395,937563,902832
2020,"영등포구",1623269,812411,810858
2020,"용산구",981125,503761,477364
2020,"은평구",1936332,1006854,929478
2020,"종로구",641342,331059,310283
2020,"중구",542455,277172,265283
2020,"중랑구",1600644,810008,790636
