"기간","자치구","총전입","여성전입","남성전입","총전출","여성전출","남성전출"
2014.01,"강남구",7806,3703,4103,7731,3728,4003
2014.01,"강동구",4438,2173,2265,4899,2450,2449
2014.01,"강북구",2936,1392,1544,3475,1728,1747
2014.01,"강서구",5938,2888,3050,6139,2911,3228
2014.01,"관악구",6620,3369,3251,7261,3718,3543
2014.01,"광진구",3776,1795,1981,4178,2046,2132
2014.01,"구로구",4177,2037,2140,4310,2158,2152
2014.01,"금천구",2253,1177,1076,2492,1326,1166
2014.01,"노원구",5235,2557,2678,6386,3115,3271
2014.01,"도봉구",3037,1473,1564,3420,1692,1728
2014.01,"동대문구",3445,1783,1662,3764,1948,1816
2014.01,"동작구",4934,2364,2570,5173,2505,2668
2014.01,"마포구",4334,2096,2238,4470,2158,2312
2014.01,"서대문구",3122,1533,1589,3316,1601,1715
2014.01,"서초구",7352,3488,3864,6055,2920,3135
2014.01,"성동구",2902,1396,1506,3224,1603,1621
2014.01,"성북구",4752,2268,2484,5087,2520,2567
2014.01,"송파구",8954,4334,4620,7183,3366,3817
2014.01,"양천구",4494,2227,2267,5007,2496,2511
2014.01,"영등포구",4104,2108,1996,4485,2265,2220
2014.01,"용산구",2765,1359,1406,2868,1412,1456
2014.01,"은평구",5341,2537,2804,5909,2833,3076
2014.01,"종로구",1661,818,843,1998,1023,975
2014.01,"중구",1461,742,719,1689,876,813
2014.01,"중랑구",5257,2577,2680,4847,2361,2486
2014.02,"강남구",11261,5493,5768,10765,5217,5548
2014.02,"강동구",6164,3089,3075,6717,3343,3374
2014.02,"강북구",3957,1928,2029,4450,2181,2269
2014.02,"강서구",7478,3724,3754,8172,4052,4120
2014.02,"관악구",9251,4763,4488,9456,4882,4574
2014.02,"광진구",5508,2688,2820,5766,2903,2863
2014.02,"구로구",6895,3370,3525,6241,3070,3171
2014.02,"금천구",2966,1553,1413,3167,1650,1517
2014.02,"노원구",8046,3922,4124,9000,4400,4600
2014.02,"도봉구",4051,1993,2058,4693,2335,2358
2014.02,"동대문구",5211,2652,2559,5577,2885,2692
2014.02,"동작구",6930,3439,3491,6719,3346,3373
2014.02,"마포구",5980,2805,3175,6245,3052,3193
2014.02,"서대문구",4511,2182,2329,4532,2221,2311
2014.02,"서초구",8887,4271,4616,8358,4112,4246
2014.02,"성동구",4431,2260,2171,4697,2383,2314
2014.02,"성북구",6930,3349,3581,7218,3529,3689
2014.02,"송파구",12341,6061,6280,10518,5295,5223
2014.02,"양천구",6643,3309,3334,7163,3654,3509
2014.02,"영등포구",5813,2879,2934,6448,3295,3153
2014.02,"용산구",3702,1833,1869,3827,1900,1927
2014.02,"은평구",6576,3203,3373,7429,3677,3752
2014.02,"종로구",2611,1284,1327,2654,1366,1288
2014.02,"중구",1990,990,1000,2149,1107,1042
2014.02,"중랑구",7296,3678,3618,6300,3176,3124
2014.03,"강남구",10666,5218,5448,10176,5010,5166
2014.03,"강동구",6207,3136,3071,6915,3534,3381
2014.03,"강북구",4322,2141,2181,4980,2473,2507
2014.03,"강서구",7634,3862,3772,8062,4057,4005
2014.03,"관악구",9565,5118,4447,9548,4978,4570
2014.03,"광진구",5787,2883,2904,6118,3072,3046
2014.03,"구로구",6665,3283,3382,5998,2991,3007
2014.03,"금천구",3255,1687,1568,3589,1869,1720
2014.03,"노원구",7124,3487,3637,7948,3889,4059
2014.03,"도봉구",4344,2140,2204,4428,2212,2216
2014.03,"동대문구",4895,2554,2341,5172,2695,2477
2014.03,"동작구",6335,3243,3092,6445,3272,3173
2014.03,"마포구",6218,3049,3169,6144,3002,3142
2014.03,"서대문구",4599,2305,2294,4732,2376,2356
2014.03,"서초구",6542,3215,3327,7240,3590,3650
2014.03,"성동구",4913,2510,2403,4685,2442,2243
2014.03,"성북구",6366,3092,3274,6762,3389,3373
2014.03,"송파구",9278,4534,4744,9965,4988,4977
2014.03,"양천구",5874,2975,2899,6417,3253,3164
2014.03,"영등포구",5997,3075,2922,5999,3127,2872
2014.03,"용산구",3585,1834,1751,3923,1973,1950
2014.03,"은평구",6956,3417,3539,7528,3738,3790
2014.03,"종로구",2528,1332,1196,2725,1408,1317
2014.03,"중구",2084,1082,1002,2333,1227,1106
2014.03,"중랑구",6378,3199,3179,6428,3227,3201
2014.04,"강남구",9816,4747,5069,8626,4177,4449
2014.04,"강동구",6127,3089,3038,6950,3517,3433
2014.04,"강북구",4264,2179,2085,4740,2375,2365
2014.04,"강서구",7405,3620,3785,7636,3823,3813
2014.04,"관악구",8251,4389,3862,8552,4456,4096
2014.04,"광진구",5083,2536,2547,5694,2834,2860
2014.04,"구로구",5862,2952,2910,5652,2867,2785
2014.04,"금천구",3277,1688,1589,3586,1909,1677
2014.04,"노원구",6411,3179,3232,7037,3517,3520
2014.04,"도봉구",4152,2056,2096,4588,2279,2309
2014.04,"동대문구",4492,2364,2128,4904,2552,2352
2014.04,"동작구",5592,2842,2750,5874,2935,2939
2014.04,"마포구",5491,2688,2803,5674,2793,2881
2014.04,"서대문구",4113,2097,2016,4230,2135,2095
2014.04,"서초구",5690,2735,2955,6401,3123,3278
2014.04,"성동구",4504,2264,2240,4428,2261,2167
2014.04,"성북구",5518,2717,2801,6345,3184,3161
2014.04,"송파구",8367,4108,4259,9558,4759,4799
2014.04,"양천구",5651,2823,2828,6002,3033,2969
2014.04,"영등포구",6001,3090,2911,6141,3155,2986
2014.04,"용산구",3151,1606,1545,3613,1827,1786
2014.04,"은평구",6948,3400,3548,7403,3645,3758
2014.04,"종로구",2337,1142,1195,2609,1357,1252
2014.04,"중구",1790,941,849,2045,1064,981
2014.04,"중랑구",5937,3056,2881,6398,3275,3123
2014.05,"강남구",9556,4551,5005,8369,3990,4379
2014.05,"강동구",5990,2904,3086,6707,3315,3392
2014.05,"강북구",4485,2188,2297,4603,2234,2369
2014.05,"강서구",6884,3290,3594,7225,3483,3742
2014.05,"관악구",7849,4009,3840,8385,4325,4060
2014.05,"광진구",5129,2480,2649,5807,2805,3002
2014.05,"구로구",5194,2536,2658,5294,2570,2724
2014.05,"금천구",3070,1572,1498,3256,1698,1558
2014.05,"노원구",5962,2869,3093,6723,3313,3410
2014.05,"도봉구",4033,1973,2060,4601,2226,2375
2014.05,"동대문구",4333,2176,2157,4793,2417,2376
2014.05,"동작구",5574,2704,2870,5614,2752,2862
2014.05,"마포구",5221,2437,2784,5442,2642,2800
2014.05,"서대문구",3715,1804,1911,3921,1881,2040
2014.05,"서초구",5711,2736,2975,5883,2922,2961
2014.05,"성동구",4023,1974,2049,4219,2082,2137
2014.05,"성북구",5364,2617,2747,6199,3014,3185
2014.05,"송파구",7991,3845,4146,8799,4248,4551
2014.05,"양천구",5060,2490,2570,5484,2721,2763
2014.05,"영등포구",5270,2679,2591,5551,2909,2642
2014.05,"용산구",3117,1535,1582,3314,1670,1644
2014.05,"은평구",6669,3213,3456,7028,3399,3629
2014.05,"종로구",2010,988,1022,2246,1113,1133
2014.05,"중구",1770,880,890,1892,956,936
2014.05,"중랑구",5665,2686,2979,5877,2852,3025
2014.06,"강남구",7692,3711,3981,7358,3604,3754
2014.06,"강동구",5111,2565,2546,5607,2843,2764
2014.06,"강북구",4632,2250,2382,4543,2276,2267
2014.06,"강서구",11073,5292,5781,8883,4291,4592
2014.06,"관악구",6953,3583,3370,7705,3999,3706
2014.06,"광진구",4325,2122,2203,4933,2429,2504
2014.06,"구로구",5658,2805,2853,5651,2881,2770
2014.06,"금천구",2775,1414,1361,3211,1645,1566
2014.06,"노원구",5173,2462,2711,6004,2933,3071
2014.06,"도봉구",3707,1815,1892,4103,2055,2048
2014.06,"동대문구",4215,2097,2118,4826,2420,2406
2014.06,"동작구",4793,2342,2451,5373,2645,2728
2014.06,"마포구",4261,2081,2180,5094,2469,2625
2014.06,"서대문구",3430,1691,1739,3829,1891,1938
2014.06,"서초구",5517,2663,2854,5160,2523,2637
2014.06,"성동구",3494,1741,1753,3810,1922,1888
2014.06,"성북구",5353,2665,2688,6672,3303,3369
2014.06,"송파구",7150,3470,3680,7925,3915,4010
2014.06,"양천구",4597,2216,2381,5708,2783,2925
2014.06,"영등포구",4732,2403,2329,5318,2697,2621
2014.06,"용산구",2757,1374,1383,3207,1569,1638
2014.06,"은평구",6039,2931,3108,6406,3151,3255
2014.06,"종로구",1831,926,905,2125,1079,1046
2014.06,"중구",1615,849,766,1870,961,909
2014.06,"중랑구",5664,2817,2847,5621,2810,2811
2014.07,"강남구",9781,4675,5106,8590,4140,4450
2014.07,"강동구",5027,2529,2498,5982,3002,2980
2014.07,"강북구",4286,2135,2151,4381,2212,2169
2014.07,"강서구",13750,6720,7030,9905,4826,5079
2014.07,"관악구",6952,3641,3311,7832,4038,3794
2014.07,"광진구",4262,2187,2075,5058,2567,2491
2014.07,"구로구",4959,2485,2474,5233,2612,2621
2014.07,"금천구",2719,1440,1279,2981,1555,1426
2014.07,"노원구",5555,2728,2827,6206,3073,3133
2014.07,"도봉구",3467,1685,1782,4109,2013,2096
2014.07,"동대문구",4096,2095,2001,4740,2424,2316
2014.07,"동작구",4792,2401,2391,5427,2770,2657
2014.07,"마포구",4686,2276,2410,5565,2701,2864
2014.07,"서대문구",3516,1723,1793,3896,1924,1972
2014.07,"서초구",6881,3292,3589,5908,2860,3048
2014.07,"성동구",3631,1807,1824,4048,2045,2003
2014.07,"성북구",5150,2557,2593,6363,3201,3162
2014.07,"송파구",7207,3486,3721,8202,4038,4164
2014.07,"양천구",4891,2382,2509,6380,3194,3186
2014.07,"영등포구",4469,2259,2210,5283,2674,2609
2014.07,"용산구",2711,1345,1366,3287,1601,1686
2014.07,"은평구",5701,2796,2905,6400,3151,3249
2014.07,"종로구",1856,898,958,2305,1170,1135
2014.07,"중구",1556,816,740,1795,941,854
2014.07,"중랑구",6463,3228,3235,6007,2974,3033
2014.08,"강남구",10340,4991,5349,8426,4087,4339
2014.08,"강동구",4858,2421,2437,5786,2909,2877
2014.08,"강북구",3629,1821,1808,3871,1914,1957
2014.08,"강서구",13762,6758,7004,9507,4675,4832
2014.08,"관악구",6500,3423,3077,7430,3886,3544
2014.08,"광진구",4386,2142,2244,4998,2527,2471
2014.08,"구로구",4470,2244,2226,5088,2544,2544
2014.08,"금천구",2372,1238,1134,2749,1444,1305
2014.08,"노원구",5509,2630,2879,6211,2993,3218
2014.08,"도봉구",3428,1699,1729,3815,1897,1918
2014.08,"동대문구",3876,2035,1841,4415,2286,2129
2014.08,"동작구",4600,2331,2269,5297,2661,2636
2014.08,"마포구",5072,2528,2544,5495,2678,2817
2014.08,"서대문구",3285,1606,1679,3757,1892,1865
2014.08,"서초구",7538,3686,3852,5787,2808,2979
2014.08,"성동구",3196,1606,1590,3948,1965,1983
2014.08,"성북구",4831,2386,2445,6084,3049,3035
2014.08,"송파구",7099,3502,3597,8622,4172,4450
2014.08,"양천구",4947,2436,2511,6084,3019,3065
2014.08,"영등포구",4177,2147,2030,5073,2579,2494
2014.08,"용산구",2538,1234,1304,3048,1486,1562
2014.08,"은평구",5526,2665,2861,6263,3078,3185
2014.08,"종로구",1761,915,846,1970,1005,965
2014.08,"중구",1445,738,707,1688,876,812
2014.08,"중랑구",5777,2863,2914,5173,2574,2599
2014.09,"강남구",8983,4378,4605,7990,3966,4024
2014.09,"강동구",4845,2449,2396,5652,2830,2822
2014.09,"강북구",3611,1789,1822,4039,2059,1980
2014.09,"강서구",9300,4573,4727,7482,3732,3750
2014.09,"관악구",6715,3579,3136,7377,3866,3511
2014.09,"광진구",4087,2027,2060,4764,2394,2370
2014.09,"구로구",4232,2167,2065,4566,2353,2213
2014.09,"금천구",2486,1310,1176,2687,1450,1237
2014.09,"노원구",5553,2736,2817,5990,2986,3004
2014.09,"도봉구",3397,1755,1642,3977,1994,1983
2014.09,"동대문구",6211,3177,3034,5251,2722,2529
2014.09,"동작구",4356,2238,2118,5090,2575,2515
2014.09,"마포구",4586,2217,2369,4900,2452,2448
2014.09,"서대문구",3300,1638,1662,3512,1730,1782
2014.09,"서초구",6021,2916,3105,5185,2527,2658
2014.09,"성동구",3450,1747,1703,4061,2047,2014
2014.09,"성북구",4793,2348,2445,5835,2862,2973
2014.09,"송파구",7121,3522,3599,8208,4042,4166
2014.09,"양천구",4446,2159,2287,5051,2558,2493
2014.09,"영등포구",4076,2150,1926,4695,2438,2257
2014.09,"용산구",2557,1275,1282,2997,1518,1479
2014.09,"은평구",5445,2660,2785,5959,2952,3007
2014.09,"종로구",1868,991,877,2018,1057,961
2014.09,"중구",1455,737,718,1583,794,789
2014.09,"중랑구",4821,2408,2413,4972,2503,2469
2014.1,"강남구",10106,4922,5184,8928,4308,4620
2014.1,"강동구",6150,3051,3099,7075,3541,3534
2014.1,"강북구",4359,2161,2198,4976,2466,2510
2014.1,"강서구",10326,5058,5268,8865,4420,4445
2014.1,"관악구",7978,4066,3912,8838,4551,4287
2014.1,"광진구",5154,2616,2538,6051,3051,3000
2014.1,"구로구",5133,2473,2660,6035,3058,2977
2014.1,"금천구",2894,1497,1397,3257,1673,1584
2014.1,"노원구",6572,3184,3388,7278,3530,3748
2014.1,"도봉구",4397,2155,2242,4964,2469,2495
2014.1,"동대문구",6853,3406,3447,5989,3008,2981
2014.1,"동작구",5375,2636,2739,6358,3146,3212
2014.1,"마포구",7789,3784,4005,6071,2987,3084
2014.1,"서대문구",3933,1938,1995,5010,2426,2584
2014.1,"서초구",7080,3392,3688,6107,3021,3086
2014.1,"성동구",4301,2174,2127,5221,2626,2595
2014.1,"성북구",5415,2629,2786,6805,3302,3503
2014.1,"송파구",8258,4090,4168,10045,4955,5090
2014.1,"양천구",5640,2829,2811,6303,3145,3158
2014.1,"영등포구",5036,2566,2470,5813,2959,2854
2014.1,"용산구",3081,1548,1533,3716,1868,1848
2014.1,"은평구",6917,3340,3577,7433,3663,3770
2014.1,"종로구",2012,991,1021,2325,1166,1159
2014.1,"중구",1761,912,849,1963,975,988
2014.1,"중랑구",5759,2850,2909,5975,2971,3004
2014.11,"강남구",9280,4503,4777,8025,3882,4143
2014.11,"강동구",5474,2702,2772,6361,3159,3202
2014.11,"강북구",3892,1911,1981,4244,2097,2147
2014.11,"강서구",8029,3937,4092,7310,3598,3712
2014.11,"관악구",6757,3488,3269,7704,4035,3669
2014.11,"광진구",4504,2162,2342,5354,2622,2732
2014.11,"구로구",4657,2335,2322,5254,2649,2605
2014.11,"금천구",2691,1402,1289,2980,1557,1423
2014.11,"노원구",5906,2868,3038,6946,3368,3578
2014.11,"도봉구",3832,1908,1924,4302,2143,2159
2014.11,"동대문구",5276,2656,2620,5028,2549,2479
2014.11,"동작구",4636,2304,2332,5435,2734,2701
2014.11,"마포구",7979,3834,4145,5873,2841,3032
2014.11,"서대문구",3437,1670,1767,4300,2111,2189
2014.11,"서초구",5540,2699,2841,5688,2770,2918
2014.11,"성동구",3874,1957,1917,4448,2282,2166
2014.11,"성북구",5126,2467,2659,6255,3073,3182
2014.11,"송파구",7637,3790,3847,8786,4279,4507
2014.11,"양천구",4823,2392,2431,5152,2593,2559
2014.11,"영등포구",4264,2113,2151,5114,2590,2524
2014.11,"용산구",2652,1304,1348,3337,1609,1728
2014.11,"은평구",5739,2834,2905,6405,3157,3248
2014.11,"종로구",1741,922,819,2091,1092,999
2014.11,"중구",1566,795,771,1928,948,980
2014.11,"중랑구",4987,2487,2500,5147,2638,2509
2014.12,"강남구",10619,5091,5528,9428,4652,4776
2014.12,"강동구",6021,2999,3022,6924,3444,3480
