"기간","자치구","총전입","총전출"
2014,"강남구",115906,104412
2014,"강동구",66412,75575
2014,"강북구",48224,52641
2014,"강서구",109436,96548
2014,"관악구",90987,98182
2014,"광진구",56778,64189
2014,"구로구",62804,65025
2014,"금천구",33510,37071
2014,"노원구",73503,83748
2014,"도봉구",45658,51552
2014,"동대문구",57915,59658
2014,"동작구",63291,69117
2014,"마포구",68853,67146
2014,"서대문구",45088,49817
2014,"서초구",79323,74512
2014,"성동구",46521,51349
2014,"성북구",65082,76521
2014,"송파구",99723,107490
2014,"양천구",62502,70772
2014,"영등포구",59057,65662
2014,"용산구",35618,40635
2014,"은평구",73950,80850
2014,"종로구",24191,27484
2014,"중구",20105,22972
2014,"중랑구",69157,68497
2015,"강남구",108537,114523
2015,"강동구",73720,94194
2015,"강북구",47491,52240
2015,"강서구",94604,94501
2015,"관악구",94590,100724
2015,"광진구",58871,63920
2015,"구로구",57099,64052
2015,"금천구",34056,37303
2015,"노원구",73528,83672
2015,"도봉구",48961,52460
2015,"동대문구",55990,60917
2015,"동작구",66694,76096
2015,"마포구",71484,72254
2015,"서대문구",55729,55165
2015,"서초구",76543,83320
2015,"성동구",48105,49091
2015,"성북구",66804,76213
2015,"송파구",101994,111346
2015,"양천구",66589,70624
2015,"영등포구",58936,65678
2015,"용산구",37064,41361
2015,"은평구",82375,85329
2015,"종로구",24951,27470
2015,"중구",20078,22950
2015,"중랑구",64638,71284
2016,"강남구",95358,108949
2016,"강동구",67962,84535
2016,"강북구",44791,48947
2016,"강서구",95852,93011
2016,"관악구",91198,96179
2016,"광진구",55362,60446
2016,"구로구",54368,61558
2016,"금천구",34870,36528
2016,"노원구",72249,81176
2016,"도봉구",44836,48607
2016,"동대문구",49591,55622
2016,"동작구",66425,68243
2016,"마포구",62642,72793
2016,"서대문구",55152,54236
2016,"서초구",71136,74319
2016,"성동구",47629,46986
2016,"성북구",60000,70396
2016,"송파구",105735,112735
2016,"양천구",65385,74404
2016,"영등포구",61308,71785
2016,"용산구",34124,38615
2016,"은평구",74864,82925
2016,"종로구",23604,26386
2016,"중구",20595,21655
2016,"중랑구",60566,64823
2017,"강남구",90474,103367
2017,"강동구",81615,90819
2017,"강북구",42231,44809
2017,"강서구",90217,86483
2017,"관악구",90303,94943
2017,"광진구",56010,56647
2017,"구로구",50077,58672
2017,"금천구",34230,34907
2017,"노원구",64406,78488
2017,"도봉구",40965,45260
2017,"동대문구",47899,52733
2017,"동작구",60949,66978
2017,"마포구",57490,63689
2017,"서대문구",48534,50286
2017,"서초구",68680,76574
2017,"성동구",50416,46031
2017,"성북구",61285,68221
2017,"송파구",110872,107154
2017,"양천구",54797,62729
2017,"영등포구",62622,66039
2017,"용산구",35154,36622
2017,"은평구",68402,73637
2017,"종로구",28020,25814
2017,"중구",20904,20574
2017,"중랑구",56385,59947
2018,"강남구",91611,106802
2018,"강동구",59334,68933
2018,"강북구",40941,45800
2018,"강서구",83699,90281
2018,"관악구",94403,96477
2018,"광진구",55728,58774
2018,"구로구",51108,58543
2018,"금천구",33794,35508
2018,"노원구",61867,72748
2018,"도봉구",39518,44213
2018,"동대문구",54899,57605
2018,"동작구",65099,66105
2018,"마포구",60227,61071
2018,"서대문구",45861,48484
2018,"서초구",74658,83489
2018,"성동구",51358,49012
2018,"성북구",57147,65477
2018,"송파구",101060,101486
2018,"양천구",54579,62414
2018,"영등포구",59862,62108
2018,"용산구",37339,37801
2018,"은평구",67489,71519
2018,"종로구",23187,24798
2018,"중구",20771,20873
2018,"중랑구",54168,59616
2019,"강남구",95557,93716
2019,"강동구",75101,67292
2019,"강북구",38046,42622
2019,"강서구",78518,85057
2019,"관악구",93583,95788
2019,"광진구",52191,57088
2019,"구로구",54791,53666
2019,"금천구",32416,33728
2019,"노원구",57183,68095
2019,"도봉구",35445,41225
2019,"동대문구",51660,53660
2019,"동작구",61168,62047
2019,"마포구",57766,59573
2019,"서대문구",45729,46677
2019,"서초구",63335,67634
2019,"성동구",39922,48102
2019,"성북구",67841,61169
2019,"송파구",123273,116301
2019,"양천구",50256,56733
2019,"영등포구",56874,58253
2019,"용산구",35099,35673
2019,"은평구",69399,72721
2019,"종로구",22271,23945
2019,"중구",19623,19384
2019,"중랑구",49446,55932
2020,"강남구",95325,101582
2020,"강동구",101437,78271
2020,"강북구",41625,46656
2020,"강서구",87198,99573
2020,"관악구",98301,103226
2020,"광진구",55926,60703
2020,"구로구",60885,64024
2020,"금천구",35753,36963
2020,"노원구",68176,77707
2020,"도봉구",40435,47892
2020,"동대문구",54908,58135
2020,"동작구",64496,69650
2020,"마포구",66215,68667
2020,"서대문구",56504,53579
2020,"서초구",71250,77669
2020,"성동구",45153,53096
2020,"성북구",62953,68231
2020,"송파구",106928,116457
2020,"양천구",64081,68021
2020,"영등포구",79309,68526
2020,"용산구",40282,38985
2020,"은평구",76364,76165
2020,"종로구",23632,25254
2020,"중구",20777,21733
2020,"중랑구",60214,62212
