"³â","¿ù","½Ò","Çö¹Ì","Âý½Ò","º¸¸®½Ò","Äá","¶ó¸é","»§","±¹»ê¼è°í±â","¼öÀÔ¼è°í±â","µÅÁö°í±â","´ß°í±â","ÇÜ¹×º£ÀÌÄÁ","°¥Ä¡","¸íÅÂ","Á¶±â","°íµî¾î","¿ÀÂ¡¾î","¿ìÀ¯","´Þ°¿","»ç°ú","¹èÃß","Àü±â·á","µµ½Ã°¡½º","µîÀ¯"
"1975",1,"11.834","","7.791","4.909","2.462","12.857","","3.060","","6.196","11.604","","1.257","2.021","3.058","2.133","7.547","","11.364","","6.471","48.313","","6.827"
"1975",2,"11.834","","7.835","5.041","2.545","12.680","","3.171","","6.746","12.530","","1.257","2.186","3.233","2.164","7.997","","13.174","","6.471","48.313","","6.827"
"1975",3,"11.710","","7.653","4.942","2.545","12.680","","3.355","","8.213","12.748","","1.257","2.063","3.372","2.321","8.197","","13.341","","6.471","48.313","","6.827"
"1975",4,"12.082","","7.610","5.338","2.545","12.811","","3.465","","8.250","13.075","","1.257","1.938","3.301","2.227","8.197","","13.720","","6.471","48.313","","6.827"
"1975",5,"12.268","","7.700","5.832","2.585","13.960","","3.465","","8.322","13.294","","1.257","1.979","3.406","2.352","8.197","","13.636","","6.471","48.313","","6.827"
"1975",6,"12.268","","7.653","5.798","2.626","13.960","","3.540","","8.616","13.347","","1.795","1.938","3.372","2.916","8.197","","13.594","","9.531","48.313","","6.827"
"1975",7,"13.135","","7.610","5.766","2.668","13.960","","3.613","","9.752","13.347","","1.615","1.938","3.372","3.073","8.197","","13.341","","9.679","48.313","","6.827"
"1975",8,"13.444","","7.610","5.832","2.832","13.960","","3.650","","9.863","13.729","","1.579","1.938","3.301","3.230","7.697","","13.720","","14.963","48.313","","6.827"
"1975",9,"13.568","","7.564","5.832","2.996","13.960","","3.650","","10.523","13.892","","1.471","2.433","3.545","3.700","7.347","","14.772","","20.397","48.313","","6.827"
"1975",10,"14.126","","7.473","5.865","3.160","13.960","","3.650","","10.926","13.020","","1.364","2.516","3.927","3.449","8.097","","14.646","","20.002","48.313","","6.827"
"1975",11,"14.064","","7.564","5.798","3.037","13.960","","3.650","","11.182","12.639","","1.471","2.847","3.963","3.418","9.096","","13.131","","14.866","48.313","","7.028"
"1975",12,"14.188","","7.700","5.766","2.996","13.960","","3.724","","11.367","12.748","","1.831","3.176","4.067","3.041","9.847","","12.878","","10.519","48.313","","7.454"
"1976",1,"14.126","","8.062","5.798","3.037","13.960","","3.982","","11.915","14.110","","1.974","3.836","4.241","2.792","10.296","","12.499","","10.124","48.313","","7.454"
"1976",2,"14.313","","8.651","5.766","3.200","13.960","","4.166","","12.099","15.580","","1.974","3.918","4.136","2.853","10.496","","12.795","","10.124","48.313","","7.454"
"1976",3,"14.374","","8.968","5.798","3.324","13.960","","4.646","","12.136","18.087","","1.974","3.672","3.233","3.324","10.496","","13.720","","10.124","48.313","","7.454"
"1976",4,"14.250","","8.968","5.832","3.365","13.960","","5.161","","12.136","19.177","","1.974","3.795","3.197","3.230","10.496","","14.520","","10.124","48.313","","7.454"
"1976",5,"14.623","","9.377","5.832","3.734","13.960","","5.161","","12.062","17.106","","1.974","3.877","3.337","3.230","10.496","","14.267","","10.124","48.313","","7.454"
"1976",6,"15.613","","9.783","5.832","4.022","13.960","","5.161","","11.989","16.235","","2.477","3.877","3.406","3.481","10.496","","13.720","","8.642","48.313","","7.454"
"1976",7,"16.543","","10.780","6.062","4.186","13.960","","5.161","","11.989","17.215","","2.513","3.877","3.406","4.233","10.496","","14.267","","13.975","48.313","","7.454"
"1976",8,"17.286","","11.640","6.590","4.227","13.960","","5.161","","11.989","17.434","","2.477","3.877","3.684","3.637","10.046","","14.225","","14.667","48.313","","7.454"
