"년","월","쌀 _수입","밀 _수입","옥수수 _수입","콩 _수입","과일 _수입","쇠고기 _수입","돼지고기 _수입","닭고기 _수입","신선수산물 _수입","냉동수산물 _수입","원유 _수입","치즈 _수입","어육 _수입","과일 _수출","신선수산물 _수출","냉동수산물 _수출","어육 _수출","김 _수출","라면 _수출","나프타 _수출","휘발유 _수출","제트유 _수출","등유 _수출","경유 _수출","벙커C유 _수출","정제혼합용원료유 _수출","윤활유 _수출","아스팔트 _수출"
"1971",1,0,48.04,21.21,30.64,0,0,0,0,0,0,3.2,0,0,0,8.06,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971",10,0,48.04,21.59,30.57,0,0,0,0,0,0,3.25,0,0,0,7.9,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971",11,0,48.04,21.59,30.57,0,0,0,0,0,0,3.25,0,0,0,7.75,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971",12,0,48.04,21.59,30.57,0,0,0,0,0,0,3.25,0,0,0,7.67,18.64,0,0,0,0,0,0,0,0,0,0,0,0
"1971",2,0,48.04,21.97,30.64,0,0,0,0,0,0,3.2,0,0,0,7.88,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971",3,0,48.04,23.87,30.91,0,0,0,0,0,0,3.2,0,0,0,8.2,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971",4,0,48.04,23.87,30.91,0,0,0,0,0,0,3.2,0,0,0,8.8,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971",5,0,48.04,27.65,30.91,0,0,0,0,0,0,3.2,0,0,0,8.38,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971",6,0,48.04,22.16,30.91,0,0,0,0,0,0,3.2,0,0,0,9.02,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971",7,0,48.04,22.29,30.91,0,0,0,0,0,0,3.25,0,0,0,7.65,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971",8,0,48.04,20.08,30.91,0,0,0,0,0,0,3.25,0,0,0,7.59,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971",9,0,48.04,21.59,30.91,0,0,0,0,0,0,3.25,0,0,0,7.64,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1972",1,0,46.88,30.24,30.57,0,0,0,0,0,0,4.4,0,0,0,8.39,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1972",10,0,46.98,23.54,33.2,0,0,0,0,0,0,4.59,0,0,0,8.8,20.53,0,0,0,0,0,0,0,0,0,0,0,0
"1972",11,0,49.37,23.61,33.2,0,0,0,0,0,0,4.59,0,0,0,8.83,21.05,0,0,0,0,0,0,0,0,0,0,0,0
"1972",12,0,48.7,24.43,32.53,0,0,0,0,0,0,4.59,0,0,0,8.88,21.05,0,0,0,0,0,0,0,0,0,0,0,0
"1972",2,0,46.88,30.74,30.57,0,0,0,0,0,0,4.4,0,0,0,8.68,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1972",3,0,45.93,26.51,29.16,0,0,0,0,0,0,4.4,0,0,0,8.59,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1972",4,0,45.93,26.51,29.16,0,0,0,0,0,0,4.6,0,0,0,8.97,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1972",5,0,45.93,26.51,29.16,0,0,0,0,0,0,4.6,0,0,0,8.81,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1972",6,0,45.93,28.72,29.16,0,0,0,0,0,0,4.6,0,0,0,9.94,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1972",7,0,45.93,28.29,29.16,0,0,0,0,0,0,4.59,0,0,0,7.86,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1972",8,0,45.93,28.16,29.16,0,0,0,0,0,0,4.59,0,0,0,7.86,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1972",9,0,46.49,25.38,33.2,0,0,0,0,0,0,4.59,0,0,0,8.83,19.47,0,0,0,0,0,0,0,0,0,0,0,0
"1973",1,0,48.7,25,32.53,0,0,0,0,0,0,4.9,0,0,0,9.56,20.79,0,0,0,0,0,0,0,0,0,0,0,0
"1973",10,0,92.33,56.63,57.04,0,0,0,0,0,0,7.18,0,0,0,9.56,24.93,0,0,0,0,0,0,0,0,0,0,0,0
"1973",11,0,91.84,60.98,69.44,0,0,0,0,0,0,8.68,0,0,0,9.56,25.59,0,0,0,0,0,0,0,0,0,0,0,0
"1973",12,0,98.37,63.31,69.44,0,0,0,0,0,0,8.61,0,0,0,9.56,25.44,0,0,0,0,0,0,0,0,0,0,0,0
"1973",2,0,48.6,32.01,32.53,0,0,0,0,0,0,4.9,0,0,0,9.56,21.05,0,0,0,0,0,0,0,0,0,0,0,0
"1973",3,0,49.66,39.27,52.61,0,0,0,0,0,0,4.9,0,0,0,9.56,22.65,0,0,0,0,0,0,0,0,0,0,0,0
"1973",4,0,50.24,39.27,52.61,0,0,0,0,0,0,5.08,0,0,0,9.56,23.2,0,0,0,0,0,0,0,0,0,0,0,0
"1973",5,0,52.83,39.14,52.61,0,0,0,0,0,0,5.08,0,0,0,9.56,23.2,0,0,0,0,0,0,0,0,0,0,0,0
"1973",6,0,62.6,45.89,57.04,0,0,0,0,0,0,5.25,0,0,0,9.56,23.2,0,0,0,0,0,0,0,0,0,0,0,0
"1973",7,0,72.67,45.14,57.04,0,0,0,0,0,0,5.47,0,0,0,9.56,22.65,0,0,0,0,0,0,0,0,0,0,0,0
"1973",8,0,74.02,51.64,57.04,0,0,0,0,0,0,5.73,0,0,0,9.56,22.65,0,0,0,0,0,0,0,0,0,0,0,0
"1973",9,0,74.59,57.45,57.04,0,0,0,0,0,0,5.93,0,0,0,9.56,22.65,0,0,0,0,0,0,0,0,0,0,0,0
"1974",1,0,95.39,64.96,69.44,0,0,0,0,0,0,17.08,0,0,0,9.56,23.72,0,0,0,0,0,0,0,0,0,0,0,0
"1974",10,0,94.72,76.2,72.46,0,0,0,0,0,0,21.11,0,0,0,10.75,21.05,0,0,0,0,0,0,0,0,0,0,0,0
"1974",11,0,97.51,64.58,72.46,0,0,0,0,0,0,21.09,0,0,0,10.75,21.05,0,0,0,0,0,0,0,0,0,0,0,0
"1974",12,0,94.62,73.29,72.46,0,0,0,0,0,0,21.09,0,0,0,10.65,20.61,0,0,0,0,0,0,0,0,0,0,0,0
"1974",2,0,98.08,60.92,69.44,0,0,0,0,0,0,20.08,0,0,0,9.56,23.46,0,0,0,0,0,0,0,0,0,0,0,0
"1974",3,0,93.77,61.17,69.44,0,0,0,0,0,0,20.08,0,0,0,9.56,24.54,0,0,0,0,0,0,0,0,0,0,0,0
"1974",4,0,92.62,60.98,69.44,0,0,0,0,0,0,20.46,0,0,0,9.56,24.54,0,0,0,0,0,0,0,0,0,0,0,0
"1974",5,0,94.72,60.98,69.44,0,0,0,0,0,0,20.46,0,0,0,9.56,24.54,0,0,0,0,0,0,0,0,0,0,0,0
"1974",6,0,99.99,63.06,69.44,0,0,0,0,0,0,20.52,0,0,0,9.56,20.01,0,0,0,0,0,0,0,0,0,0,0,0
"1974",7,0,100.57,59.79,58.13,0,0,0,0,0,0,20.54,0,0,0,9.56,20.01,0,0,0,0,0,0,0,0,0,0,0,0
"1974",8,0,94.72,51.32,58.13,0,0,0,0,0,0,20.59,0,0,0,9.56,19.73,0,0,0,0,0,0,0,0,0,0,0,0
"1974",9,0,93.86,60.98,58.13,0,0,0,0,0,0,20.51,0,0,0,10.75,19.73,0,0,0,0,0,0,0,0,0,0,0,0
"1975",1,0,94.03,72.88,72.45,0,0,0,0,0,0,21.13,0,0,0,9.56,18.39,0,0,0,0,0,0,0,0,0,0,0,0
"1975",10,0,71.31,58.74,48.92,0,0,0,0,0,0,21.16,0,0,0,17.29,21.42,0,0,0,0,0,0,0,0,0,0,0,0
"1975",11,0,71.31,55.65,48.92,0,0,0,0,0,0,22.59,0,0,0,17.29,25.09,0,0,0,0,0,0,0,0,0,0,0,0
"1975",12,0,64.55,55.65,48.92,0,0,0,0,0,0,22.59,0,0,0,17.29,27.26,0,0,0,0,0,0,0,0,0,0,0,0
"1975",2,0,94.39,71.64,72.45,0,0,0,0,0,0,21.13,0,0,0,9.56,15.99,0,0,0,0,0,0,0,0,0,0,0,0
"1975",3,0,80.17,65.63,72.45,0,0,0,0,0,0,21.13,0,0,0,9.56,15.99,0,0,0,0,0,0,0,0,0,0,0,0
"1975",4,0,62.5,65.51,72.45,0,0,0,0,0,0,21.16,0,0,0,9.56,16.44,0,0,0,0,0,0,0,0,0,0,0,0
"1975",5,0,59.9,65.51,72.45,0,0,0,0,0,0,21.16,0,0,0,9.35,16.25,0,0,0,0,0,0,0,0,0,0,0,0
"1975",6,0,53.77,59.61,48.92,0,0,0,0,0,0,21.16,0,0,0,9.35,18.55,0,0,0,0,0,0,0,0,0,0,0,0
"1975",7,0,58,56.64,48.92,0,0,0,0,0,0,21.16,0,0,0,12.17,20.09,0,0,0,0,0,0,0,0,0,0,0,0
"1975",8,0,63.2,56.64,37.16,0,0,0,0,0,0,21.16,0,0,0,12.17,20.76,0,0,0,0,0,0,0,0,0,0,0,0
"1975",9,0,71.31,60.04,48.92,0,0,0,0,0,0,21.16,0,0,0,17.29,21.42,0,0,0,0,0,0,0,0,0,0,0,0
"1976",1,0,64.48,51.73,48.92,0,0,0,0,0,0,22.59,0,0,0,17.29,27.58,0,0,0,0,0,0,0,0,0,0,0,0
"1976",10,0,60.18,52.04,65.01,0,0,0,0,0,0,22.59,0,0,0,15.03,36.43,0,0,0,0,0,0,0,0,0,0,0,0
"1976",11,0,58.28,50.68,60.47,0,0,0,0,0,0,22.59,0,0,0,15.03,36.43,0,0,0,0,0,0,0,0,0,0,0,0
"1976",12,0,57.43,49.56,61.12,0,0,0,0,0,0,22.59,0,0,0,15.9,37.37,0,0,0,0,0,0,0,0,0,0,0,0
"1976",2,0,60.88,51.73,48.92,0,0,0,0,0,0,22.59,0,0,0,16.69,27.58,0,0,0,0,0,0,0,0,0,0,0,0
"1976",3,0,60.88,52.41,47.98,0,0,0,0,0,0,22.59,0,0,0,16.35,28.37,0,0,0,0,0,0,0,0,0,0,0,0
"1976",4,0,61.73,52.41,46.03,0,0,0,0,0,0,22.59,0,0,0,12.36,29.44,0,0,0,0,0,0,0,0,0,0,0,0
"1976",5,0,60.75,53.03,46.86,0,0,0,0,0,0,22.59,0,0,0,12.36,31.55,0,0,0,0,0,0,0,0,0,0,0,0
"1976",6,0,60.75,53.35,36.69,0,0,0,0,0,0,22.59,0,0,0,12.36,31.91,0,0,0,0,0,0,0,0,0,0,0,0
"1976",7,0,61.1,57.38,56.66,0,0,0,0,0,0,22.59,0,0,0,12.36,32.95,0,0,0,0,0,0,0,0,0,0,0,0
"1976",8,0,61.1,55.21,60.77,0,0,0,0,0,0,22.59,0,0,0,12.36,33.7,0,0,0,0,0,0,0,0,0,0,0,0
"1976",9,0,61.1,55.14,66.64,0,0,0,0,0,0,22.59,0,0,0,14.15,35.56,0,0,0,0,0,0,0,0,0,0,0,0
"1977",1,0,57.15,49.44,61.77,0,0,0,0,0,0,22.82,0,0,0,16.35,39.31,0,0,0,0,0,0,0,0,0,0,0,0
"1977",10,0,43.14,38.39,49.73,0,0,0,0,0,0,25.04,0,0,0,14.95,32.1,0,0,0,0,0,0,0,0,0,0,0,0
"1977",11,0,43.14,41.68,49.73,0,0,0,0,0,0,25.04,0,0,0,15.1,32.1,0,0,0,0,0,0,0,0,0,0,0,0
"1977",12,0,45.61,48.64,55.31,0,0,0,0,0,0,25.04,0,0,0,15.1,31.66,0,0,0,0,0,0,0,0,0,0,0,0
"1977",2,0,57.43,50.18,65.12,0,0,0,0,0,0,23.3,0,0,0,16.63,40.77,0,0,0,0,0,0,0,0,0,0,0,0
"1977",3,0,57.43,50.18,74.1,0,0,0,0,0,0,23.3,0,0,0,17.37,36.43,0,0,0,0,0,0,0,0,0,0,0,0
"1977",4,0,57.43,50.18,87.54,0,0,0,0,0,0,23.3,0,0,0,17.37,32.53,0,0,0,0,0,0,0,0,0,0,0,0
"1977",5,0,56.24,48.44,92.24,0,0,0,0,0,0,23.3,0,0,0,17.37,32.1,0,0,0,0,0,0,0,0,0,0,0,0
"1977",6,0,56.24,47.15,92.24,0,0,0,0,0,0,23.3,0,0,0,17.03,32.1,0,0,0,0,0,0,0,0,0,0,0,0
"1977",7,0,49.98,47.15,80.56,0,0,0,0,0,0,25.04,0,0,0,14.57,32.1,0,0,0,0,0,0,0,0,0,0,0,0
"1977",8,0,49.98,47.15,80.56,0,0,0,0,0,0,25.04,0,0,0,14.57,32.1,0,0,0,0,0,0,0,0,0,0,0,0
"1977",9,0,49.98,38.39,51.03,0,0,0,0,0,0,25.04,0,0,0,16.69,32.1,0,0,0,0,0,0,0,0,0,0,0,0
"1978",1,0,48.08,48.64,55.31,0,0,0,0,0,0,25.04,0,0,0,17.72,31.66,0,0,0,0,0,0,0,0,0,0,0,0
"1978",10,0,56.87,46.4,63.71,0,0,0,0,0,0,25.01,0,0,0,18.59,32.84,0,0,0,0,0,0,0,0,0,0,0,0
