"년","월","곡류_수입","맥류및잡곡_수입","콩류_수입","과실_수입","도축육_수입","가금육_수입","신선어류_수입","냉동수산물_수입","낙농품_수입","수산물가공품_수입","원당_수입","유지_수입","과실및채소가공품_수입","인삼및건강보조식품_수입","농림수산품_수출","농림수산품.1_수출","농산물_수출","채소및과실_수출","과실_수출","수산물_수출","신선수산물_수출","신선어류_수출","냉동건조수산물_수출","냉동수산물_수출"
"1971",1,0,40,30.64,0,0,0,0,0,0,0,23.51,23.17,0,0,12.28,12.28,25.53,23.18,0,10.6,10.65,10.65,13,12.38
"1971",10,0,40.1,30.58,0,0,0,0,0,0,0,25.33,21.47,0,0,12.19,12.19,25.68,23.18,0,10.39,10.13,10.13,12.92,12.31
"1971",11,0,40.1,30.58,0,0,0,0,0,0,0,25.33,21.1,0,0,12.08,12.08,25.68,23.18,0,10.2,9.65,9.65,12.83,12.23
"1971",12,0,40.1,30.58,0,0,0,0,0,0,0,25.03,21,0,0,11.97,11.97,25.61,23.18,0,10.04,9.34,9.34,12.72,12.12
"1971",2,0,40.19,30.64,0,0,0,0,0,0,0,23.51,22.79,0,0,12.14,12.14,25.53,23.18,0,10.37,10.07,10.07,12.9,12.29
"1971",3,0,40.65,30.91,0,0,0,0,0,0,0,23.51,21.85,0,0,12.34,12.34,25.53,23.18,0,10.71,10.86,10.86,13.06,12.45
"1971",4,0,40.65,30.91,0,0,0,0,0,0,0,23.51,22.42,0,0,12.83,12.83,25.53,23.18,0,11.55,12.98,12.98,13.38,12.75
"1971",5,0,41.59,30.91,0,0,0,0,0,0,0,23.51,22.51,0,0,12.52,12.52,25.53,23.18,0,11.02,11.67,11.67,13.17,12.55
"1971",6,0,40.24,30.91,0,0,0,0,0,0,0,25.33,22.7,0,0,13.01,13.01,25.53,23.18,0,11.86,13.76,13.76,13.49,12.86
"1971",7,0,40.27,30.91,0,0,0,0,0,0,0,25.33,22.23,0,0,12,12,25.68,23.18,0,10.06,9.34,9.34,12.77,12.16
"1971",8,0,39.72,30.91,0,0,0,0,0,0,0,25.33,21.57,0,0,11.96,11.96,25.68,23.18,0,10,9.16,9.16,12.76,12.15
"1971",9,0,40.1,30.91,0,0,0,0,0,0,0,25.33,21.76,0,0,12,12,25.68,23.18,0,10.07,9.33,9.33,12.79,12.18
"1972",1,0,41.39,30.58,0,0,0,0,0,0,0,42.92,19.87,0,0,12.43,12.43,25.09,20.49,0,11.05,11.55,11.55,13.29,12.66
"1972",10,0,39.81,33.2,0,0,0,0,0,0,0,37.92,20.72,0,0,12.71,12.71,24.98,20.49,0,11.57,11.32,11.32,14.36,13.68
"1972",11,0,41.57,33.2,0,0,0,0,0,0,0,37.92,21.1,0,0,12.75,12.75,24.98,20.49,0,11.63,11.04,11.04,14.62,13.93
"1972",12,0,41.28,32.53,0,0,0,0,0,0,0,37.01,21.85,0,0,12.76,12.76,24.83,20.42,0,11.71,11.28,11.28,14.64,13.95
"1972",2,0,41.51,30.58,0,0,0,0,0,0,0,42.92,20.15,0,0,12.66,12.66,25.09,20.49,0,11.44,12.52,12.52,13.45,12.82
"1972",3,0,39.78,29.16,0,0,0,0,0,0,0,42.92,19.77,0,0,12.58,12.58,25.09,20.49,0,11.3,12.17,12.17,13.4,12.76
"1972",4,0,39.78,29.16,0,0,0,0,0,0,0,42.92,18.64,0,0,12.91,12.91,25.16,20.49,0,11.83,13.48,13.48,13.61,12.97
"1972",5,0,39.78,29.16,0,0,0,0,0,0,0,42.92,18.36,0,0,12.94,12.94,25.87,20.49,0,11.6,12.9,12.9,13.52,12.88
"1972",6,0,40.32,29.16,0,0,0,0,0,0,0,37.92,19.02,0,0,13.6,13.6,24.98,20.49,0,13.09,16.51,16.51,14.16,13.49
"1972",7,0,40.21,29.16,0,0,0,0,0,0,0,37.92,19.11,0,0,12,12,24.98,20.49,0,10.35,9.76,9.76,13.05,12.43
"1972",8,0,40.18,29.16,0,0,0,0,0,0,0,37.92,18.83,0,0,12,12,24.98,20.49,0,10.35,9.76,9.76,13.05,12.43
"1972",9,0,39.92,33.2,0,0,0,0,0,0,0,37.92,20.06,0,0,12.74,12.74,24.98,20.49,0,11.63,12.29,12.29,13.91,13.26
"1973",1,0,41.42,32.53,0,0,0,0,0,0,0,36.4,21.85,0,0,13.82,13.82,27.11,19.37,0,12.6,12.08,12.08,15.76,15.02
"1973",10,0,80.79,57.05,0,0,0,0,0,0,0,52.33,42,0,0,14.85,14.85,27.26,19.37,0,14.3,11.96,11.96,19.21,18.3
"1973",11,0,81.51,69.44,0,0,0,0,0,0,0,55.21,40.87,0,0,15.35,15.35,27.4,19.37,0,15.1,12.75,12.75,19.98,19.04
"1973",12,0,86.81,69.44,0,0,0,0,0,0,0,63.4,42.66,0,0,15.89,15.89,27.2,19.27,0,16.12,13.77,13.77,21.08,20.09
"1973",2,0,43.07,32.53,0,0,0,0,0,0,0,36.86,21.94,0,0,14.44,14.44,27.11,19.37,0,13.67,11.92,11.92,17.17,16.35
"1973",3,0,45.62,52.6,0,0,0,0,0,0,0,39.89,26.24,0,0,14.91,14.91,27.11,19.37,0,14.47,12.96,12.96,18.12,17.26
"1973",4,0,46.04,52.6,0,0,0,0,0,0,0,39.74,28.03,0,0,14.56,14.56,27.11,19.37,0,13.87,13.33,13.33,17.42,16.6
"1973",5,0,47.88,52.6,0,0,0,0,0,0,0,42.32,34.73,0,0,14.25,14.25,27.11,19.37,0,13.34,12.21,12.21,17.42,16.6
"1973",6,0,56.63,57.05,0,0,0,0,0,0,0,42.32,42.76,0,0,14.4,14.4,27.11,19.37,0,13.59,12.17,12.17,17.66,16.82
"1973",7,0,63.73,57.05,0,0,0,0,0,0,0,42.32,45.82,0,0,14.3,14.3,27.26,19.37,0,13.36,11.58,11.58,16.24,15.47
"1973",8,0,66.3,57.05,0,0,0,0,0,0,0,48.54,56.07,0,0,15.04,15.04,27.26,19.37,0,14.63,14.29,14.29,17.18,16.37
"1973",9,0,68.15,57.05,0,0,0,0,0,0,0,48.54,43.61,0,0,14.64,14.64,27.26,19.37,0,13.95,12.83,12.83,17.67,16.84
"1974",1,0,85.06,69.44,0,0,0,0,0,0,0,86.3,47.1,0,0,17.12,17.12,31.36,22.95,0,16.52,15.37,15.37,21.18,20.18
"1974",10,0,87.34,72.47,0,0,0,0,0,0,0,245.57,43.98,0,0,15.67,15.67,31.36,22.95,0,14.03,14.09,14.09,17.3,16.48
"1974",11,0,86.5,72.47,0,0,0,0,0,0,0,225.09,39.83,0,0,15.2,15.2,31.36,22.95,0,13.23,14.09,14.09,16.11,15.34
"1974",12,0,86.55,72.47,0,0,0,0,0,0,0,225.09,33.74,0,0,15.26,15.26,31.33,22.95,0,13.34,12.25,12.25,16.6,15.81
"1974",2,0,86.01,69.44,0,0,0,0,0,0,0,83.42,53.75,0,0,17.15,17.15,31.36,22.95,0,16.57,17.21,17.21,18.83,17.94
"1974",3,0,82.95,69.44,0,0,0,0,0,0,0,102.69,57.39,0,0,16.7,16.7,31.36,22.95,0,15.79,15.21,15.21,19.43,18.51
"1974",4,0,82.07,69.44,0,0,0,0,0,0,0,108.45,54.74,0,0,16.96,16.96,31.36,22.95,0,16.24,16.04,16.04,19.89,18.95
"1974",5,0,83.6,69.44,0,0,0,0,0,0,0,109.51,52.76,0,0,16.35,16.35,31.36,22.95,0,15.2,14.96,14.96,18.95,18.06
