"기간","과일","신선수산물","냉동수산물","어육","김","라면","나프타","휘발유","제트유","등유","경유","벙커C유","정제혼합용원료유","윤활유","아스팔트"
"1971.01",0,8.06,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971.02",0,7.88,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971.03",0,8.2,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971.04",0,8.8,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971.05",0,8.38,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971.06",0,9.02,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971.07",0,7.65,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971.08",0,7.59,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971.09",0,7.64,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971.10",0,7.9,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971.11",0,7.75,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1971.12",0,7.67,18.64,0,0,0,0,0,0,0,0,0,0,0,0
"1972.01",0,8.39,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1972.02",0,8.68,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1972.03",0,8.59,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1972.04",0,8.97,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1972.05",0,8.81,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1972.06",0,9.94,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1972.07",0,7.86,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1972.08",0,7.86,18.7,0,0,0,0,0,0,0,0,0,0,0,0
"1972.09",0,8.83,19.47,0,0,0,0,0,0,0,0,0,0,0,0
"1972.10",0,8.8,20.53,0,0,0,0,0,0,0,0,0,0,0,0
"1972.11",0,8.83,21.05,0,0,0,0,0,0,0,0,0,0,0,0
"1972.12",0,8.88,21.05,0,0,0,0,0,0,0,0,0,0,0,0
"1973.01",0,9.56,20.79,0,0,0,0,0,0,0,0,0,0,0,0
"1973.02",0,9.56,21.05,0,0,0,0,0,0,0,0,0,0,0,0
"1973.03",0,9.56,22.65,0,0,0,0,0,0,0,0,0,0,0,0
"1973.04",0,9.56,23.2,0,0,0,0,0,0,0,0,0,0,0,0
"1973.05",0,9.56,23.2,0,0,0,0,0,0,0,0,0,0,0,0
"1973.06",0,9.56,23.2,0,0,0,0,0,0,0,0,0,0,0,0
"1973.07",0,9.56,22.65,0,0,0,0,0,0,0,0,0,0,0,0
"1973.08",0,9.56,22.65,0,0,0,0,0,0,0,0,0,0,0,0
"1973.09",0,9.56,22.65,0,0,0,0,0,0,0,0,0,0,0,0
"1973.10",0,9.56,24.93,0,0,0,0,0,0,0,0,0,0,0,0
"1973.11",0,9.56,25.59,0,0,0,0,0,0,0,0,0,0,0,0
"1973.12",0,9.56,25.44,0,0,0,0,0,0,0,0,0,0,0,0
"1974.01",0,9.56,23.72,0,0,0,0,0,0,0,0,0,0,0,0
"1974.02",0,9.56,23.46,0,0,0,0,0,0,0,0,0,0,0,0
"1974.03",0,9.56,24.54,0,0,0,0,0,0,0,0,0,0,0,0
"1974.04",0,9.56,24.54,0,0,0,0,0,0,0,0,0,0,0,0
"1974.05",0,9.56,24.54,0,0,0,0,0,0,0,0,0,0,0,0
"1974.06",0,9.56,20.01,0,0,0,0,0,0,0,0,0,0,0,0
"1974.07",0,9.56,20.01,0,0,0,0,0,0,0,0,0,0,0,0
"1974.08",0,9.56,19.73,0,0,0,0,0,0,0,0,0,0,0,0
"1974.09",0,10.75,19.73,0,0,0,0,0,0,0,0,0,0,0,0
"1974.10",0,10.75,21.05,0,0,0,0,0,0,0,0,0,0,0,0
"1974.11",0,10.75,21.05,0,0,0,0,0,0,0,0,0,0,0,0
"1974.12",0,10.65,20.61,0,0,0,0,0,0,0,0,0,0,0,0
"1975.01",0,9.56,18.39,0,0,0,0,0,0,0,0,0,0,0,0
"1975.02",0,9.56,15.99,0,0,0,0,0,0,0,0,0,0,0,0
"1975.03",0,9.56,15.99,0,0,0,0,0,0,0,0,0,0,0,0
"1975.04",0,9.56,16.44,0,0,0,0,0,0,0,0,0,0,0,0
"1975.05",0,9.35,16.25,0,0,0,0,0,0,0,0,0,0,0,0
"1975.06",0,9.35,18.55,0,0,0,0,0,0,0,0,0,0,0,0
"1975.07",0,12.17,20.09,0,0,0,0,0,0,0,0,0,0,0,0
"1975.08",0,12.17,20.76,0,0,0,0,0,0,0,0,0,0,0,0
"1975.09",0,17.29,21.42,0,0,0,0,0,0,0,0,0,0,0,0
"1975.10",0,17.29,21.42,0,0,0,0,0,0,0,0,0,0,0,0
"1975.11",0,17.29,25.09,0,0,0,0,0,0,0,0,0,0,0,0
"1975.12",0,17.29,27.26,0,0,0,0,0,0,0,0,0,0,0,0
"1976.01",0,17.29,27.58,0,0,0,0,0,0,0,0,0,0,0,0
"1976.02",0,16.69,27.58,0,0,0,0,0,0,0,0,0,0,0,0
"1976.03",0,16.35,28.37,0,0,0,0,0,0,0,0,0,0,0,0
"1976.04",0,12.36,29.44,0,0,0,0,0,0,0,0,0,0,0,0
"1976.05",0,12.36,31.55,0,0,0,0,0,0,0,0,0,0,0,0
"1976.06",0,12.36,31.91,0,0,0,0,0,0,0,0,0,0,0,0
"1976.07",0,12.36,32.95,0,0,0,0,0,0,0,0,0,0,0,0
"1976.08",0,12.36,33.7,0,0,0,0,0,0,0,0,0,0,0,0
"1976.09",0,14.15,35.56,0,0,0,0,0,0,0,0,0,0,0,0
"1976.10",0,15.03,36.43,0,0,0,0,0,0,0,0,0,0,0,0
"1976.11",0,15.03,36.43,0,0,0,0,0,0,0,0,0,0,0,0
"1976.12",0,15.9,37.37,0,0,0,0,0,0,0,0,0,0,0,0
"1977.01",0,16.35,39.31,0,0,0,0,0,0,0,0,0,0,0,0
"1977.02",0,16.63,40.77,0,0,0,0,0,0,0,0,0,0,0,0
"1977.03",0,17.37,36.43,0,0,0,0,0,0,0,0,0,0,0,0
"1977.04",0,17.37,32.53,0,0,0,0,0,0,0,0,0,0,0,0
"1977.05",0,17.37,32.1,0,0,0,0,0,0,0,0,0,0,0,0
"1977.06",0,17.03,32.1,0,0,0,0,0,0,0,0,0,0,0,0
"1977.07",0,14.57,32.1,0,0,0,0,0,0,0,0,0,0,0,0
"1977.08",0,14.57,32.1,0,0,0,0,0,0,0,0,0,0,0,0
"1977.09",0,16.69,32.1,0,0,0,0,0,0,0,0,0,0,0,0
"1977.10",0,14.95,32.1,0,0,0,0,0,0,0,0,0,0,0,0
"1977.11",0,15.1,32.1,0,0,0,0,0,0,0,0,0,0,0,0
"1977.12",0,15.1,31.66,0,0,0,0,0,0,0,0,0,0,0,0
"1978.01",0,17.72,31.66,0,0,0,0,0,0,0,0,0,0,0,0
"1978.02",0,20.3,31.66,0,0,0,0,0,0,0,0,0,0,0,0
"1978.03",0,20.3,31.66,0,0,0,0,0,0,0,0,0,0,0,0
"1978.04",0,19.63,31.66,0,0,0,0,0,0,0,0,0,0,0,0
"1978.05",0,17.43,31.66,0,0,0,0,0,0,0,0,0,0,0,0
"1978.06",0,15.84,32.81,0,0,0,0,0,0,0,0,0,0,0,0
