"기간","농림수산품","농림수산품","농산물","채소및과실","과실","수산물","신선수산물","신선어류","냉동건조수산물","냉동수산물"
"1971.01",12.28,12.28,25.53,23.18,0,10.6,10.65,10.65,13,12.38
"1971.02",12.14,12.14,25.53,23.18,0,10.37,10.07,10.07,12.9,12.29
"1971.03",12.34,12.34,25.53,23.18,0,10.71,10.86,10.86,13.06,12.45
"1971.04",12.83,12.83,25.53,23.18,0,11.55,12.98,12.98,13.38,12.75
"1971.05",12.52,12.52,25.53,23.18,0,11.02,11.67,11.67,13.17,12.55
"1971.06",13.01,13.01,25.53,23.18,0,11.86,13.76,13.76,13.49,12.86
"1971.07",12,12,25.68,23.18,0,10.06,9.34,9.34,12.77,12.16
"1971.08",11.96,11.96,25.68,23.18,0,10,9.16,9.16,12.76,12.15
"1971.09",12,12,25.68,23.18,0,10.07,9.33,9.33,12.79,12.18
"1971.10",12.19,12.19,25.68,23.18,0,10.39,10.13,10.13,12.92,12.31
"1971.11",12.08,12.08,25.68,23.18,0,10.2,9.65,9.65,12.83,12.23
"1971.12",11.97,11.97,25.61,23.18,0,10.04,9.34,9.34,12.72,12.12
"1972.01",12.43,12.43,25.09,20.49,0,11.05,11.55,11.55,13.29,12.66
"1972.02",12.66,12.66,25.09,20.49,0,11.44,12.52,12.52,13.45,12.82
"1972.03",12.58,12.58,25.09,20.49,0,11.3,12.17,12.17,13.4,12.76
"1972.04",12.91,12.91,25.16,20.49,0,11.83,13.48,13.48,13.61,12.97
"1972.05",12.94,12.94,25.87,20.49,0,11.6,12.9,12.9,13.52,12.88
"1972.06",13.6,13.6,24.98,20.49,0,13.09,16.51,16.51,14.16,13.49
"1972.07",12,12,24.98,20.49,0,10.35,9.76,9.76,13.05,12.43
"1972.08",12,12,24.98,20.49,0,10.35,9.76,9.76,13.05,12.43
"1972.09",12.74,12.74,24.98,20.49,0,11.63,12.29,12.29,13.91,13.26
"1972.10",12.71,12.71,24.98,20.49,0,11.57,11.32,11.32,14.36,13.68
"1972.11",12.75,12.75,24.98,20.49,0,11.63,11.04,11.04,14.62,13.93
"1972.12",12.76,12.76,24.83,20.42,0,11.71,11.28,11.28,14.64,13.95
"1973.01",13.82,13.82,27.11,19.37,0,12.6,12.08,12.08,15.76,15.02
"1973.02",14.44,14.44,27.11,19.37,0,13.67,11.92,11.92,17.17,16.35
"1973.03",14.91,14.91,27.11,19.37,0,14.47,12.96,12.96,18.12,17.26
"1973.04",14.56,14.56,27.11,19.37,0,13.87,13.33,13.33,17.42,16.6
"1973.05",14.25,14.25,27.11,19.37,0,13.34,12.21,12.21,17.42,16.6
"1973.06",14.4,14.4,27.11,19.37,0,13.59,12.17,12.17,17.66,16.82
"1973.07",14.3,14.3,27.26,19.37,0,13.36,11.58,11.58,16.24,15.47
"1973.08",15.04,15.04,27.26,19.37,0,14.63,14.29,14.29,17.18,16.37
"1973.09",14.64,14.64,27.26,19.37,0,13.95,12.83,12.83,17.67,16.84
"1973.10",14.85,14.85,27.26,19.37,0,14.3,11.96,11.96,19.21,18.3
"1973.11",15.35,15.35,27.4,19.37,0,15.1,12.75,12.75,19.98,19.04
"1973.12",15.89,15.89,27.2,19.27,0,16.12,13.77,13.77,21.08,20.09
"1974.01",17.12,17.12,31.36,22.95,0,16.52,15.37,15.37,21.18,20.18
"1974.02",17.15,17.15,31.36,22.95,0,16.57,17.21,17.21,18.83,17.94
"1974.03",16.7,16.7,31.36,22.95,0,15.79,15.21,15.21,19.43,18.51
"1974.04",16.96,16.96,31.36,22.95,0,16.24,16.04,16.04,19.89,18.95
"1974.05",16.35,16.35,31.36,22.95,0,15.2,14.96,14.96,18.95,18.06
"1974.06",15.47,15.47,31.36,22.95,0,13.69,13.55,13.55,16.57,15.78
"1974.07",15.4,15.4,31.22,22.95,0,13.62,14.17,14.17,16.08,15.32
"1974.08",15.99,15.99,31.22,22.95,0,14.64,14.17,14.17,16.19,15.43
"1974.09",16.17,16.17,31.22,22.95,0,14.95,14.09,14.09,16.9,16.1
"1974.10",15.67,15.67,31.36,22.95,0,14.03,14.09,14.09,17.3,16.48
"1974.11",15.2,15.2,31.36,22.95,0,13.23,14.09,14.09,16.11,15.34
"1974.12",15.26,15.26,31.33,22.95,0,13.34,12.25,12.25,16.6,15.81
"1975.01",16.1,16.1,35.45,21.1,0,13.44,12.39,12.39,16.52,15.57
"1975.02",15.06,15.06,35.54,21.1,0,12.18,12.39,12.39,14.59,13.53
"1975.03",15.04,15.04,35.87,21.1,0,12.1,12.39,12.39,14.59,13.53
"1975.04",15.44,15.44,36.02,21.1,0,12.55,12.27,12.27,15.26,14.24
"1975.05",15.42,15.42,36.37,21.1,0,12.47,12.09,12.09,15.16,14.24
"1975.06",16.41,16.41,36.72,21.1,0,13.6,12.09,12.09,16.99,16.12
"1975.07",17.4,17.4,37.19,21.1,0,14.71,14.63,14.63,18.03,17.17
"1975.08",17.96,17.96,37.69,21.1,0,15.3,14.63,14.63,18.81,17.97
"1975.09",18.98,18.98,38.23,22.22,0,16.43,19.03,19.03,19.49,18.69
"1975.10",19.08,19.08,39.11,22.22,0,16.41,19.03,19.03,19.7,18.91
"1975.11",21.19,21.19,38.72,22.22,0,18.98,19.03,19.03,23.2,22.59
"1975.12",22.4,22.4,38.82,22.22,0,20.42,19.03,19.03,25.3,24.79
"1976.01",22.56,22.56,39.26,23.12,0,20.54,19.03,19.03,25.47,24.8
"1976.02",22.65,22.65,40.72,24.92,0,20.4,18.49,18.49,25.34,24.66
"1976.03",23.1,23.1,41.96,26.57,0,20.74,18.41,18.41,25.85,25.2
"1976.04",23.48,23.48,42.31,27.39,0,21.14,15.15,15.15,26.98,26.39
"1976.05",24.4,24.4,42.42,27.39,0,22.22,15.15,15.15,28.8,28.3
"1976.06",24.2,24.2,42.36,27.39,0,21.99,15.27,15.27,28.49,27.98
"1976.07",24.85,24.85,41.81,27.39,0,22.85,15.72,15.72,29.59,29.03
"1976.08",25.26,25.26,42.12,28.25,0,23.29,15.95,15.95,30.18,29.66
"1976.09",26.42,26.42,41.97,28.25,0,24.71,17.57,17.57,31.7,31.25
"1976.10",27.07,27.07,41.9,28.25,0,25.49,18.36,18.36,32.51,32.1
"1976.11",27.1,27.1,41.66,28.25,0,25.56,18.36,18.36,32.79,32.4
"1976.12",27.15,27.15,40.62,28.25,0,25.79,19.14,19.14,33.12,32.75
"1977.01",28.26,28.26,41.67,28.25,0,26.95,19.56,19.56,34.75,34.46
"1977.02",28.94,28.94,41.67,28.25,0,27.77,20.17,20.17,35.86,35.62
"1977.03",27.34,27.34,42.72,28.25,0,25.68,21.14,21.14,32.55,32.15
"1977.04",25.76,25.76,43.3,28.25,0,23.69,21.09,21.09,29.39,28.83
"1977.05",25.55,25.55,43.3,28.25,0,23.45,21.09,21.09,29.04,28.46
"1977.06",25.79,25.79,43.32,28.25,0,23.73,21.31,21.31,29.27,28.7
"1977.07",25.96,25.96,47.97,32.01,0,23.17,19.19,19.19,29.03,28.45
"1977.08",26.45,26.45,47.81,32.01,0,23.79,19.19,19.19,29.75,29.21
"1977.09",27.42,27.42,48.76,33.98,0,24.78,21.12,21.12,30.41,29.9
"1977.10",26.99,26.99,48.76,33.98,0,24.27,19.55,19.55,30.04,29.52
"1977.11",27.37,27.37,48.76,33.98,0,24.72,19.67,19.67,30.69,30.19
"1977.12",27.17,27.17,48.76,33.98,0,24.49,19.67,19.67,30.34,29.83
"1978.01",27.32,27.32,48.76,33.98,0,24.67,22.05,22.05,30.31,29.79
"1978.02",27.96,27.96,48.1,32.61,0,25.54,24.72,24.72,31.2,30.73
"1978.03",28.09,28.09,48.1,32.61,0,25.69,24.72,24.72,31.42,30.96
"1978.04",27.58,27.58,47.69,31.77,0,25.16,24.41,24.41,30.69,30.19
"1978.05",27.7,27.7,47.69,31.77,0,25.29,21.85,21.85,31.22,30.76
"1978.06",28.13,28.13,47.69,31.77,0,25.81,20.57,20.57,32.15,31.73
"1978.07",28.1,28.1,47.69,31.77,0,25.77,21.22,21.22,32.01,31.58
"1978.08",29.06,29.06,47.69,31.77,0,26.92,21.22,21.22,32.74,32.35
"1978.09",29.3,29.3,47.69,31.77,0,27.2,23.04,23.04,32.92,32.54
"1978.10",29.37,29.37,47.69,31.77,0,27.29,23.04,23.04,32.92,32.54
"1978.11",29.78,29.78,47.69,31.77,0,27.78,23.04,23.04,33.62,33.28
"1978.12",29.78,29.78,47.69,31.77,0,27.78,23.04,23.04,33.62,33.28
"1979.01",29.8,29.8,47.69,31.77,0,27.81,23.04,23.04,33.62,33.28
"1979.02",30.2,30.2,47.69,31.77,0,28.28,24.35,24.35,34.14,33.82
"1979.03",30.79,30.79,47.69,31.77,0,28.98,32.29,32.29,34.14,33.82
"1979.04",30.21,30.21,47.69,31.77,0,28.29,24.76,24.76,34.14,33.82
"1979.05",30.03,30.03,46.39,29.09,0,28.29,24.76,24.76,34.14,33.82
"1979.06",29.6,29.6,46.39,29.09,0,27.77,22.2,22.2,34.01,33.69
"1979.07",29.86,29.86,46.39,29.09,0,28.09,22.2,22.2,34.01,33.69
"1979.08",31.26,31.26,51.65,35.29,0,28.9,31.09,31.09,34.01,33.69
"1979.09",31.99,31.99,51.65,35.29,0,29.78,31.09,31.09,35.15,34.89
"1979.10",31.99,31.99,51.65,35.29,0,29.78,31.09,31.09,35.15,34.89
"1979.11",31.85,31.85,50.59,35.29,0,29.78,31.09,31.09,35.15,34.89
"1979.12",32.27,32.27,50.59,35.29,0,30.28,26.79,26.79,36.46,36.26
"1980.01",32.6,32.6,46.47,27.47,54.86,31.3,27.84,27.84,37.59,37.59
"1980.02",33.66,33.66,48.65,31.31,54.86,32.22,30.9,30.9,38.43,38.43
"1980.03",33.24,33.24,46.81,28.07,54.86,32.01,30.9,30.9,38.13,38.13
"1980.04",32.73,32.73,51.06,34.97,54.86,30.76,22.98,22.98,37.54,37.54
"1980.05",32.18,32.18,50.38,33.79,54.86,30.21,20.82,20.82,37.72,37.72
"1980.06",32.36,32.36,55.25,42.35,54.86,29.67,19.69,19.69,37.14,37.14
"1980.07",32.47,32.47,55.71,43.16,54.86,29.73,19.55,19.55,37.25,37.25
"1980.08",32.39,32.39,53.46,38.63,54.86,29.99,18.66,18.66,37.73,37.73
"1980.09",32.16,32.16,53.12,38.03,54.86,29.77,18.66,18.66,37.43,37.43
"1980.10",32.86,32.86,51.19,34.64,54.86,30.89,23.47,23.47,38.29,38.29
"1980.11",34.18,34.18,53.66,38.99,59.31,32.06,23.47,23.47,39.92,39.92
"1980.12",35.44,35.44,56.09,42.4,59.31,33.17,25.07,25.07,41.23,41.23
"1981.01",35.18,35.18,53.83,38.43,59.31,33.21,26.97,26.97,41.17,41.17
"1981.02",36,36,53.16,37.24,59.31,34.28,26.97,26.97,42.65,42.65
"1981.03",36.51,36.51,57.19,44.33,59.31,34.27,24.77,24.77,42.95,42.95
"1981.04",36.31,36.31,58.02,45.8,59.31,33.9,24.77,24.77,42.44,42.44
"1981.05",35.91,35.91,57.69,45.22,59.31,33.48,18.56,18.56,42.76,42.76
"1981.06",35.77,35.77,58.7,46.99,59.31,33.16,18.56,18.56,42.31,42.31
"1981.07",35.86,35.86,59.13,47.76,59.31,33.2,18.56,18.56,42.37,42.37
"1981.08",35.34,35.34,53.4,37.66,59.31,33.47,18.56,18.56,42.74,42.74
"1981.09",35.01,35.01,54.42,39.45,43.02,32.93,20.63,20.63,42.03,42.03
"1981.10",35.35,35.35,54.08,38.85,43.02,33.38,25,25,42.03,42.03
"1981.11",35.97,35.97,54.08,38.85,43.02,34.11,26.36,26.36,42.85,42.85
"1981.12",35.31,35.31,54.08,38.85,43.02,33.33,20.79,20.79,42.57,42.57
"1982.01",35.71,35.71,57.87,38.85,43.02,33.22,20.79,20.79,42.41,42.41
"1982.02",35.45,35.45,57.87,38.85,43.02,32.91,18.4,18.4,42.33,42.33
"1982.03",35.6,35.6,57.87,38.85,43.02,33.09,18.4,18.4,42.58,42.58
"1982.04",35.15,35.15,57.87,38.85,43.02,32.55,16.45,16.45,42.12,42.12
"1982.05",34.62,34.62,57.87,38.85,43.02,31.93,16.45,16.45,41.25,41.25
"1982.06",34.46,34.46,57.87,38.85,43.02,31.74,16.45,16.45,40.99,40.99
"1982.07",34.53,34.53,57.87,38.85,43.02,31.82,16.45,16.45,41.1,41.1
"1982.08",34.96,34.96,57.87,38.85,43.02,32.33,16.45,16.45,41.63,41.63
"1982.09",34.92,34.92,57.36,37.94,39.74,32.36,16.45,16.45,41.65,41.65
"1982.10",35.53,35.53,57.87,38.85,43.02,33.01,16.45,16.45,42.54,42.54
"1982.11",32.72,32.72,57.87,38.85,43.02,29.68,16.45,16.45,37.93,37.93
"1982.12",32.6,32.6,57.87,38.85,43.02,29.55,16.45,16.45,37.74,37.74
"1983.01",32.99,32.99,60.87,38.85,43.02,29.55,16.45,16.45,37.74,37.74
"1983.02",31.92,31.92,60.87,38.85,43.02,28.28,16.45,16.45,35.99,35.99
