"±â°£","½Ò","¹Ð","¿Á¼ö¼ö","Äá","°úÀÏ","¼è°í±â","µÅÁö°í±â","´ß°í±â","½Å¼±¼ö»ê¹°","³Ãµ¿¼ö»ê¹°","¿øÀ¯","Ä¡Áî","¾îÀ°"
"1971.01",0,48.04,21.21,30.64,0,0,0,0,0,0,3.2,0,0
"1971.02",0,48.04,21.97,30.64,0,0,0,0,0,0,3.2,0,0
"1971.03",0,48.04,23.87,30.91,0,0,0,0,0,0,3.2,0,0
"1971.04",0,48.04,23.87,30.91,0,0,0,0,0,0,3.2,0,0
"1971.05",0,48.04,27.65,30.91,0,0,0,0,0,0,3.2,0,0
"1971.06",0,48.04,22.16,30.91,0,0,0,0,0,0,3.2,0,0
"1971.07",0,48.04,22.29,30.91,0,0,0,0,0,0,3.25,0,0
"1971.08",0,48.04,20.08,30.91,0,0,0,0,0,0,3.25,0,0
"1971.09",0,48.04,21.59,30.91,0,0,0,0,0,0,3.25,0,0
"1971.10",0,48.04,21.59,30.57,0,0,0,0,0,0,3.25,0,0
"1971.11",0,48.04,21.59,30.57,0,0,0,0,0,0,3.25,0,0
"1971.12",0,48.04,21.59,30.57,0,0,0,0,0,0,3.25,0,0
"1972.01",0,46.88,30.24,30.57,0,0,0,0,0,0,4.4,0,0
"1972.02",0,46.88,30.74,30.57,0,0,0,0,0,0,4.4,0,0
"1972.03",0,45.93,26.51,29.16,0,0,0,0,0,0,4.4,0,0
"1972.04",0,45.93,26.51,29.16,0,0,0,0,0,0,4.6,0,0
"1972.05",0,45.93,26.51,29.16,0,0,0,0,0,0,4.6,0,0
"1972.06",0,45.93,28.72,29.16,0,0,0,0,0,0,4.6,0,0
"1972.07",0,45.93,28.29,29.16,0,0,0,0,0,0,4.59,0,0
"1972.08",0,45.93,28.16,29.16,0,0,0,0,0,0,4.59,0,0
"1972.09",0,46.49,25.38,33.2,0,0,0,0,0,0,4.59,0,0
"1972.10",0,46.98,23.54,33.2,0,0,0,0,0,0,4.59,0,0
"1972.11",0,49.37,23.61,33.2,0,0,0,0,0,0,4.59,0,0
"1972.12",0,48.7,24.43,32.53,0,0,0,0,0,0,4.59,0,0
