지출목적별 12개 대분류,대표품목,가중치
0 총지수,총계,"1,000"
01 식료품 · 비주류음료,쌀,4.3
01 식료품 · 비주류음료,현미,0.7
01 식료품 · 비주류음료,찹쌀,0.6
01 식료품 · 비주류음료,보리쌀,0.2
01 식료품 · 비주류음료,콩,0.4
01 식료품 · 비주류음료,땅콩,0.1
01 식료품 · 비주류음료,혼식곡,0.4
01 식료품 · 비주류음료,밀가루,0.1
01 식료품 · 비주류음료,국수,0.6
01 식료품 · 비주류음료,라면,2.4
01 식료품 · 비주류음료,당면,0.2
01 식료품 · 비주류음료,두부,1.2
01 식료품 · 비주류음료,시리얼,0.4
01 식료품 · 비주류음료,부침가루,0.6
01 식료품 · 비주류음료,케이크,1.4
01 식료품 · 비주류음료,빵,5.5
01 식료품 · 비주류음료,떡,1.7
01 식료품 · 비주류음료,파스타면,0.1
01 식료품 · 비주류음료,국산쇠고기,7.6
01 식료품 · 비주류음료,수입쇠고기,3.1
01 식료품 · 비주류음료,돼지고기,9.2
01 식료품 · 비주류음료,닭고기,1.5
01 식료품 · 비주류음료,소시지,1.5
01 식료품 · 비주류음료,햄및베이컨,2.9
01 식료품 · 비주류음료,갈치,1.2
01 식료품 · 비주류음료,명태,1.1
01 식료품 · 비주류음료,조기,1
01 식료품 · 비주류음료,고등어,2.1
01 식료품 · 비주류음료,오징어,0.9
01 식료품 · 비주류음료,게,0.7
01 식료품 · 비주류음료,굴,0.7
01 식료품 · 비주류음료,조개,1
01 식료품 · 비주류음료,전복,0.5
01 식료품 · 비주류음료,마른멸치,0.8
01 식료품 · 비주류음료,마른오징어,0.2
01 식료품 · 비주류음료,낙지,0.5
01 식료품 · 비주류음료,오징어채,0.2
01 식료품 · 비주류음료,북어채,0.5
01 식료품 · 비주류음료,어묵,0.8
01 식료품 · 비주류음료,맛살,0.2
01 식료품 · 비주류음료,생선통조림,0.9
01 식료품 · 비주류음료,젓갈,0.7
01 식료품 · 비주류음료,우유,4.3
01 식료품 · 비주류음료,분유,0.6
01 식료품 · 비주류음료,치즈,0.6
01 식료품 · 비주류음료,발효유,2.1
01 식료품 · 비주류음료,달걀,2.6
01 식료품 · 비주류음료,참기름,0.5
01 식료품 · 비주류음료,식용유,0.6
01 식료품 · 비주류음료,사과,3
01 식료품 · 비주류음료,배,0.8
01 식료품 · 비주류음료,복숭아,1.1
01 식료품 · 비주류음료,포도,1.2
01 식료품 · 비주류음료,밤,0.2
01 식료품 · 비주류음료,감,0.6
01 식료품 · 비주류음료,귤,1.9
01 식료품 · 비주류음료,오렌지,0.6
01 식료품 · 비주류음료,참외,1.1
01 식료품 · 비주류음료,수박,1.4
01 식료품 · 비주류음료,딸기,1.6
01 식료품 · 비주류음료,바나나,1.2
01 식료품 · 비주류음료,키위,0.4
01 식료품 · 비주류음료,블루베리,0.3
01 식료품 · 비주류음료,아몬드,0.2
01 식료품 · 비주류음료,과일가공품,1.2
01 식료품 · 비주류음료,배추,1.5
01 식료품 · 비주류음료,상추,0.6
01 식료품 · 비주류음료,시금치,0.5
01 식료품 · 비주류음료,양배추,0.2
01 식료품 · 비주류음료,미나리,0.2
01 식료품 · 비주류음료,깻잎,0.2
01 식료품 · 비주류음료,부추,0.2
01 식료품 · 비주류음료,무,0.8
01 식료품 · 비주류음료,열무,0.2
01 식료품 · 비주류음료,당근,0.3
01 식료품 · 비주류음료,감자,0.6
01 식료품 · 비주류음료,고구마,0.9
01 식료품 · 비주류음료,도라지,0.2
01 식료품 · 비주류음료,콩나물,0.6
01 식료품 · 비주류음료,버섯,1.1
01 식료품 · 비주류음료,오이,0.6
01 식료품 · 비주류음료,풋고추,0.7
01 식료품 · 비주류음료,호박,0.5
01 식료품 · 비주류음료,가지,0.2
01 식료품 · 비주류음료,토마토,1.3
01 식료품 · 비주류음료,파,1
01 식료품 · 비주류음료,양파,1
01 식료품 · 비주류음료,마늘,1.4
01 식료품 · 비주류음료,브로콜리,0.2
01 식료품 · 비주류음료,고사리,0.1
01 식료품 · 비주류음료,파프리카,0.6
01 식료품 · 비주류음료,단무지,0.2
01 식료품 · 비주류음료,김,0.6
01 식료품 · 비주류음료,맛김,0.6
01 식료품 · 비주류음료,미역,0.4
01 식료품 · 비주류음료,초콜릿,0.6
01 식료품 · 비주류음료,사탕,0.7
01 식료품 · 비주류음료,껌,0.2
01 식료품 · 비주류음료,아이스크림,2.3
01 식료품 · 비주류음료,비스킷,1.8
01 식료품 · 비주류음료,스낵과자,3
01 식료품 · 비주류음료,파이,0.6
01 식료품 · 비주류음료,설탕,0.3
01 식료품 · 비주류음료,잼,0.1
01 식료품 · 비주류음료,꿀,0.5
