"년","월","배추가격","고추가격","무가격","찹쌀가격","양파가격","생강가격","미나리"
1996,1,3557,83698,7673,88167,7601,35628,21852
1996,10,2398,51314,4451,97571,11954,93190,24306
1996,11,6105,48255,9682,89000,10189,36700,23315
1996,12,2781,40509,4276,76600,22118,59227,26772
1996,2,2339,48410,3436,92529,19764,89854,24028
1996,3,2706,82734,5335,110701,13948,89463,25464
1996,4,2838,35278,4923,93200,15358,31487,22418
1996,5,6192,95400,11866,108880,9581,24016,17902
1996,6,2552,44983,5303,135678,13734,116226,15463
1996,7,3125,25146,4631,97000,9000,67692,16056
1996,8,7161,82088,11768,84312,15485,30888,16625
1996,9,2964,61730,5750,155435,17765,45104,21458
1997,1,4740,74418,9496,118427,10331,26164,25934
1997,10,10110,112180,21416,66400,24690,48860,24783
1997,11,6828,49418,9225,100909,23895,91818,23248
1997,12,4848,59973,7967,135600,12304,206136,24131
1997,2,3911,50947,7801,95800,20806,78368,28533
1997,3,4913,64530,7052,105705,12060,102840,25968
1997,4,13310,56486,13450,115062,21190,73752,19451
1997,5,3500,75980,6830,85500,13860,68380,18667
1997,6,12182,79518,11482,105927,28164,100318,16163
1997,7,4623,74490,8650,99500,16200,61540,15326
1997,8,3800,144762,8805,99000,10400,115905,19353
1997,9,5520,47830,10580,88825,33450,97650,24995
1998,1,10326,63925,21805,110490,18578,131098,22341
1998,10,7333,96096,11642,82365,21087,35904,26080
1998,11,2709,47283,5255,150350,17693,53067,25686
1998,12,2887,54588,4064,98941,15207,105624,24756
1998,2,5972,52157,14519,131800,36519,114300,23808
1998,3,3723,59197,9025,87889,8279,37936,22488
1998,4,2327,65744,3352,92620,23039,106815,17976
1998,5,2967,51099,5025,110590,14424,86500,15009
1998,6,3019,38029,5150,93200,20118,35990,13180
1998,7,8154,59330,12805,111452,10320,25739,13595
1998,8,2822,37200,5153,151750,14062,148883,23296
1998,9,2614,40481,4259,97000,8869,68457,25001
1999,1,6778,47360,10496,87910,12008,37440,18789
1999,10,4153,159647,9671,99000,11271,117188,33450
1999,11,8228,77878,13633,88606,32633,98156,26060
1999,12,10065,64480,18950,65500,26720,48010,24265
1999,2,2287,82011,4655,76574,20326,59000,20464
1999,3,4667,69922,7438,118700,10571,28456,19422
1999,4,3960,67100,7542,94900,26110,79470,14956
1999,5,7979,76105,8128,111500,13164,106274,10741
1999,6,12259,46847,12416,118435,27059,78953,10200
1999,7,5245,87914,8910,85500,13486,67286,10392
1999,8,12358,134758,11000,104295,35211,108716,20585
1999,9,4074,61900,8158,99500,15480,66130,26648
2000,1,9109,46922,16594,102283,22489,92711,21486
2000,10,3540,71262,5075,155154,14422,141154,24813
2000,11,2284,77776,3968,95680,7834,66120,21254
2000,12,10429,47944,15418,78992,34746,35232,25992
2000,2,4020,67035,8304,135600,12104,212824,22983
2000,3,9798,60255,11953,109720,22008,133028,27098
2000,4,8418,65191,10354,131833,40760,116644,18391
2000,5,5328,72771,11127,87614,9759,38507,11988
2000,6,2803,85237,3299,92961,19347,108620,9006
2000,7,4020,39162,4998,108452,15818,86489,11475
2000,8,2804,48312,5198,94352,19240,34688,19148
2000,9,8522,53692,11062,114354,14875,24985,39750
2001,1,3542,68946,5846,151569,17129,79369,26191
2001,10,12400,122700,10500,104050,40460,115940,29450
2001,11,3604,95810,8448,99500,13731,92562,29337
2001,12,4850,99000,9755,99000,13155,117955,29772
2001,2,3187,60455,3347,103700,18631,106709,24225
2001,3,8398,89936,10689,85855,17091,37200,24900
2001,4,2679,71524,5512,75610,14044,59000,17613
2001,5,4691,91190,7850,119000,10434,30162,12675
2001,6,6236,100536,7093,94482,27755,81436,10602
2001,7,11327,78118,9660,121550,18282,105436,21666
2001,8,13105,47427,15164,119927,22127,76882,31594
2001,9,9210,135019,10267,85500,12189,67971,29292
2002,1,12005,83000,15118,88300,32155,97155,27658
2002,10,2283,51225,5677,93925,16045,34967,35008
2002,11,7832,39722,10818,118591,19066,25200,36444
2002,12,3890,95583,4433,162813,8141,142783,32331
2002,2,9468,84891,16755,64991,28300,46555,27029
2002,3,8733,134114,18638,106838,18133,97162,26052
2002,4,3735,76350,7579,135600,13463,220500,21618
2002,5,9639,110964,10345,108382,23468,175250,19908
2002,6,10400,131717,8946,132627,38675,110809,14707
2002,7,7160,84071,14729,87235,14736,38255,15840
2002,8,3694,65563,4823,92929,15647,121974,28737
2002,9,4072,77221,5723,107775,14988,81974,40591
2003,1,2153,61032,4865,92080,6388,66600,29970
2003,10,8176,92295,14362,118484,12125,73943,33237
2003,11,12140,155070,9850,85375,11425,68040,34380
2003,12,11243,64518,10855,103851,48918,115191,41383
2003,2,9860,57048,15897,76720,26748,33912,29126
2003,3,4162,75258,5701,165067,11326,77392,29370
2003,4,3579,91067,5895,120010,18669,99848,22038
2003,5,7942,101590,9769,84380,16966,37060,14675
2003,6,3102,45429,6559,75000,10705,58162,14350
2003,7,5193,59790,7510,116267,14534,32933,18427
2003,8,11552,129192,7180,93836,21823,94545,25050
2003,9,13859,130509,13918,142991,30373,106473,49180
2004,1,3564,162227,9293,99500,12685,110373,37285
2004,10,3240,75485,6128,95010,6533,144488,35586
2004,11,3130,53940,5640,108057,9431,84393,31514
2004,12,2149,71904,6448,94130,13106,31835,31733
2004,2,4991,149564,9727,99000,13764,126082,41225
2004,3,15079,74250,19190,88300,27725,95210,32562
2004,4,7775,95240,15810,65400,24540,45600,25663
2004,5,8176,124286,20267,107400,16562,97619,17594
2004,6,3414,66000,8097,135600,17884,223545,15762
2004,7,10860,103330,10275,107500,23560,173650,22970
2004,8,10703,130909,9581,133000,23742,107536,26439
2004,9,5963,60659,12302,87452,16230,38646,37074
2005,1,4058,22500,7774,136050,12327,25775,27407
2005,10,9942,34842,8973,96068,16221,116821,36907
2005,11,9453,101642,16753,141158,19189,108053,40226
2005,12,3794,46780,10896,114961,9710,73350,37411
2005,2,2638,34492,6099,174888,5150,144867,30776
2005,3,3098,39368,7612,88192,5755,65832,30320
2005,4,6524,50508,10227,79358,13972,39358,26979
2005,5,3270,32358,4458,175350,9187,88408,18014
2005,6,3090,33164,6393,118391,11489,96936,12800
2005,7,5986,38750,8074,83330,13568,36750,27457
