"년","월","곡류_수입","맥류및잡곡_수입","콩류_수입","과실_수입","도축육_수입","가금육_수입","신선어류_수입","냉동수산물_수입","낙농품_수입","수산물가공품_수입","원당_수입","유지_수입","과실및채소가공품_수입","인삼및건강보조식품_수입","농림수산품_수출","농림수산품.1_수출","농산물_수출","채소및과실_수출","과실_수출","수산물_수출","신선수산물_수출","신선어류_수출","냉동건조수산물_수출","냉동수산물_수출","국민총소득.gni.","BillionsOfUSD","AnnualPerGrowth","USDPerCapita","국내공급물가지수.SupplyPriceIndex.","국내총생산.GDP.","GDP기준지출지수","GDP디플레이터","rice","쌀","경상수지","M2","WTI","Dubai","Brent","금","총쌀생산량","경작면적당_생산량.kg.ha."
2000,1,38.16,46.19,49.78,68.28,56.75,0,0,68.99,0,47.03,44.76,49.04,58.99,0,86.79,86.79,89.12,89.12,89.12,89.85,161.75,161.75,81.04,81.04,647274.2,518.60635045791,9.6028,11030,75.31,1.9,12.7,1.3,40050,87.043,-218.1,676961.3,27.64,23.97,26.92,283.5,7196582,6711
2000,2,38.16,46.15,50.23,71.73,55.89,0,0,70.01,0,45.74,43.01,47.91,58.99,0,83.04,83.04,89.12,89.12,89.12,85.47,154.66,154.66,76.96,76.96,647274.2,518.60635045791,9.6028,11030,75.23,1.9,12.7,1.3,40340,86.694,-324.1,678380.4,30.43,25.29,29.04,292.2,7196582,6711
2000,3,38.16,45.9,50.89,73.52,57.01,0,0,70.96,0,45.74,42.95,48.15,58.99,0,77.49,77.49,89.12,89.12,89.12,79,153.66,153.66,69.41,69.41,647274.2,518.60635045791,9.6028,11030,75.14,1.9,12.7,1.3,40340,86.605,275.3,684704.8,26.9,23.72,24.12,279.08,7196582,6711
2000,4,38.16,46.02,50.89,65.09,58.91,0,0,68.44,0,45.92,43.95,48.91,58.99,0,77.34,77.34,89.12,89.12,89.12,78.83,153.71,153.71,69.2,69.2,647274.2,518.60635045791,9.6028,11030,74.31,1.3,9.1,2.4,40397,86.255,-1156,688879.2,25.74,22.79,23.43,273.55,7196582,6711
2000,5,38.16,46.55,52.12,65.39,58.44,0,0,72.59,0,45.3,43.95,50.48,58.99,0,75.79,75.79,89.12,89.12,89.12,77.02,147.86,147.86,67.98,67.98,647274.2,518.60635045791,9.6028,11030,74.56,1.3,9.1,2.4,40742,87.043,1535.5,686834.9,29.01,25.51,29.03,272.1,7196582,6711
2000,6,38.16,46.25,50,56.98,59.22,0,0,73.53,0,45.3,47.9,49.28,58.99,0,68.95,68.95,89.12,89.12,89.12,69.04,144.51,144.51,59,59,647274.2,518.60635045791,9.6028,11030,75.06,1.3,9.1,2.4,41084,87.306,2274.4,686973.3,32.5,27.52,31.32,289.52,7196582,6711
2000,7,38.16,43.68,47.11,62.21,58.48,0,0,75.75,0,44.04,60.25,47.79,58.99,0,67.52,67.52,89.12,89.12,89.12,67.37,144.25,144.25,57.06,57.06,647274.2,518.60635045791,9.6028,11030,74.81,2.8,9.1,-0.3,41200,87.744,571.5,688587.9,27.43,24.17,25.43,277.25,7196582,6711
2000,8,38.16,42.96,46.56,55.99,59.83,0,0,75.75,0,43.42,60.72,47.3,58.23,0,67.43,67.43,89.12,89.12,89.12,67.27,143.89,143.89,57,57,647274.2,518.60635045791,9.6028,11030,74.81,2.8,9.1,-0.3,41262,88.095,1168.4,694454.4,33.12,28.87,34.88,277.85,7196582,6711
2000,9,38.16,43.43,48.11,61.91,61.88,0,0,75.75,0,42.42,58.35,45.81,58.23,0,70.41,70.41,89.91,89.91,89.91,70.64,165.28,165.28,57.57,57.57,647274.2,518.60635045791,9.6028,11030,75.64,2.8,9.1,-0.3,41161,88.095,2133.9,702132.1,30.84,28.29,28.62,274.25,7196582,6711
2000,10,38.16,45.11,48.33,64.98,62.16,0,0,70.61,0,42.17,59.52,46.47,58.23,0,71.67,71.67,97.46,97.46,97.46,71.15,162.02,162.02,58.7,58.7,647274.2,518.60635045791,9.6028,11030,75.72,-0.3,5.9,0.8,40613,88.357,1210.9,696854,32.7,29.99,30.65,265.15,7196582,6711
2000,11,38.16,47.08,49.89,54.79,62.44,0,0,70.61,0,42.17,59.52,44.7,51.24,0,70.32,70.32,87.3,87.3,87.3,70.87,155.73,155.73,59.38,59.38,647274.2,518.60635045791,9.6028,11030,75.97,-0.3,5.9,0.8,40395,88.882,934.6,703911.6,33.82,28.01,31.73,270.45,7196582,6711
2000,12,38.16,47.22,49.89,55.68,62.19,0,0,67.07,0,41.42,64.26,47.88,53.18,0,69.84,69.84,85.21,85.21,85.21,70.57,155.81,155.81,59.02,59.02,647274.2,518.60635045791,9.6028,11030,75.97,-0.3,5.9,0.8,40305,88.795,1774.5,708047.5,26.8,20.07,22.54,272.25,7196582,6711
2001,1,38.16,46.15,48.34,53.54,61.27,0,0,67.84,0,41.25,63.23,46.41,52.03,0,68,68,85.21,85.21,85.21,68.43,149.83,149.83,57.42,57.42,702236.4,566.26164479371,4.8497,11950,76.88,1.2,5.1,3.3,40300,88.62,-672.9,711867.7,28.66,23.36,26.68,265.85,7406517,6838
2001,2,38.16,46.39,46.56,61.46,61.6,0,0,67.84,0,41.25,62.65,44.61,51.16,0,71.62,71.62,85.21,85.21,85.21,72.65,139.76,139.76,64.08,64.08,702236.4,566.26164479371,4.8497,11950,76.47,1.2,5.1,3.3,40383,88.882,-532.6,716583.9,27.4,22.97,24.73,267.15,7406517,6838
2001,3,38.16,45.67,44.79,72.25,64.12,0,0,68.34,0,40.32,60.06,46.11,51.16,0,73.04,73.04,85.21,85.21,85.21,74.31,129.41,129.41,67.73,67.73,702236.4,566.26164479371,4.8497,11950,76.8,1.2,5.1,3.3,40546,88.795,1509.4,717847.3,26.3,22.66,23.63,257.95,7406517,6838
2001,4,38.16,45.08,44.14,80.78,66.18,0,0,68.34,0,39.14,59.76,43.16,51.16,0,72.54,72.54,85.21,85.21,85.21,73.73,131.15,131.15,66.75,66.75,702236.4,566.26164479371,4.8497,11950,77.13,1.3,4.9,4.7,40671,88.269,-847.2,718780.3,28.46,24.67,23.63,264.05,7406517,6838
2001,5,38.16,44.22,47.41,68.1,63.6,0,0,68.34,0,39.29,59.18,42.84,51.16,0,74.82,74.82,85.21,85.21,85.21,76.38,151.21,151.21,66.68,66.68,702236.4,566.26164479371,4.8497,11950,76.8,1.3,4.9,4.7,40700,88.882,1158.8,723359.5,28.37,27.42,29.21,265.85,7406517,6838
2001,6,38.16,43.35,47.05,65.16,61.78,0,0,68.34,0,38.5,58.47,44.96,51.16,0,73.21,73.21,85.21,85.21,85.21,74.51,150.95,150.95,64.49,64.49,702236.4,566.26164479371,4.8497,11950,76.3,1.3,4.9,4.7,40700,88.531,1363.8,730467.6,26.26,24.48,26.45,270.85,7406517,6838
2001,7,38.16,46.86,48.69,63.15,58.05,0,0,68.34,0,37.18,58.35,52.8,51.16,0,72.04,72.04,85.21,85.21,85.21,73.14,144.83,144.83,63.85,63.85,702236.4,566.26164479371,4.8497,11950,75.72,1.4,3.5,4.6,40700,88.357,-42,742913,26.35,23.2,24.25,266.65,7406517,6838
2001,8,38.16,46.87,49.5,60.01,60,0,0,68.34,0,37.39,58.35,52.14,51.16,0,71.95,71.95,85.21,85.21,85.21,73.03,144.08,144.08,63.84,63.84,702236.4,566.26164479371,4.8497,11950,75.14,1.4,3.5,4.6,40700,88.357,-266.4,750878,27.2,24.24,26.71,274.4,7406517,6838
2001,9,37.02,46.17,48.36,64.24,59.48,0,0,68.6,0,38.73,57.15,47.22,51.16,0,73.97,73.97,78.18,78.18,78.18,76.29,153.27,153.27,66.24,66.24,702236.4,566.26164479371,4.8497,11950,74.73,1.4,3.5,4.6,40044,88.62,324.6,761433.1,23.43,21.51,21.96,293.25,7406517,6838
2001,10,40.13,46.49,46.1,62.95,58.6,0,0,67.43,0,39.79,56.54,45.51,51.16,0,73.74,73.74,78.18,78.18,78.18,76.02,158.81,158.81,65.03,65.03,702236.4,566.26164479371,4.8497,11950,73.73,1.8,5.9,1.5,39383,87.919,223.7,764156.1,21.18,18.74,19.79,279.65,7406517,6838
2001,11,40.13,46.18,44.78,61.93,59.23,0,0,72.43,0,38.24,55.14,50.68,50.45,0,72.6,72.6,78.18,78.18,78.18,74.7,157.48,157.48,63.66,63.66,702236.4,566.26164479371,4.8497,11950,72.41,1.8,5.9,1.5,38677,87.043,-123.2,766706.8,19.44,17.88,19.29,274.4,7406517,6838
2001,12,40.13,45.65,44.43,63.74,56.14,0,0,76.82,0,38.8,53.11,50.05,59.67,0,69.93,69.93,65.15,65.15,65.15,73.25,148.83,148.83,63.33,63.33,702236.4,566.26164479371,4.8497,11950,71.83,1.8,5.9,1.5,38696,86.781,69.2,767051.1,19.84,18.28,19.3,278.95,7406517,6838
