"년","월","총쌀생산량","경작면적당_생산량(kg/ha)"
"1980","1","5311406","4308"
"1980","2","5311406","4308"
"1980","3","5311406","4308"
"1980","4","5311406","4308"
"1980","5","5311406","4308"
"1980","6","5311406","4308"
"1980","7","5311406","4308"
"1980","8","5311406","4308"
"1980","9","5311406","4308"
"1980","10","5311406","4308"
"1980","11","5311406","4308"
"1980","12","5311406","4308"
"1981","1","7148703","5841"
"1981","2","7148703","5841"
"1981","3","7148703","5841"
"1981","4","7148703","5841"
"1981","5","7148703","5841"
"1981","6","7148703","5841"
"1981","7","7148703","5841"
"1981","8","7148703","5841"
"1981","9","7148703","5841"
"1981","10","7148703","5841"
"1981","11","7148703","5841"
"1981","12","7148703","5841"
"1982","1","7307855","6151"
"1982","2","7307855","6151"
"1982","3","7307855","6151"
"1982","4","7307855","6151"
"1982","5","7307855","6151"
"1982","6","7307855","6151"
"1982","7","7307855","6151"
"1982","8","7307855","6151"
"1982","9","7307855","6151"
"1982","10","7307855","6151"
"1982","11","7307855","6151"
"1982","12","7307855","6151"
"1983","1","7607541","6193"
"1983","2","7607541","6193"
"1983","3","7607541","6193"
"1983","4","7607541","6193"
"1983","5","7607541","6193"
"1983","6","7607541","6193"
"1983","7","7607541","6193"
"1983","8","7607541","6193"
"1983","9","7607541","6193"
"1983","10","7607541","6193"
"1983","11","7607541","6193"
"1983","12","7607541","6193"
"1984","1","7970330","6475"
"1984","2","7970330","6475"
"1984","3","7970330","6475"
"1984","4","7970330","6475"
"1984","5","7970330","6475"
"1984","6","7970330","6475"
"1984","7","7970330","6475"
"1984","8","7970330","6475"
"1984","9","7970330","6475"
"1984","10","7970330","6475"
"1984","11","7970330","6475"
"1984","12","7970330","6475"
"1985","1","7855262","6351"
"1985","2","7855262","6351"
"1985","3","7855262","6351"
"1985","4","7855262","6351"
"1985","5","7855262","6351"
"1985","6","7855262","6351"
"1985","7","7855262","6351"
"1985","8","7855262","6351"
"1985","9","7855262","6351"
"1985","10","7855262","6351"
"1985","11","7855262","6351"
"1985","12","7855262","6351"
"1986","1","7871368","6369"
"1986","2","7871368","6369"
"1986","3","7871368","6369"
"1986","4","7871368","6369"
"1986","5","7871368","6369"
"1986","6","7871368","6369"
"1986","7","7871368","6369"
"1986","8","7871368","6369"
"1986","9","7871368","6369"
"1986","10","7871368","6369"
"1986","11","7871368","6369"
"1986","12","7871368","6369"
"1987","1","7595760","6017"
"1987","2","7595760","6017"
"1987","3","7595760","6017"
"1987","4","7595760","6017"
"1987","5","7595760","6017"
"1987","6","7595760","6017"
"1987","7","7595760","6017"
"1987","8","7595760","6017"
"1987","9","7595760","6017"
"1987","10","7595760","6017"
"1987","11","7595760","6017"
"1987","12","7595760","6017"
"1988","1","8260162","6555"
"1988","2","8260162","6555"
"1988","3","8260162","6555"
"1988","4","8260162","6555"
"1988","5","8260162","6555"
"1988","6","8260162","6555"
"1988","7","8260162","6555"
"1988","8","8260162","6555"
"1988","9","8260162","6555"
"1988","10","8260162","6555"
"1988","11","8260162","6555"
"1988","12","8260162","6555"
"1989","1","8099953","6446"
"1989","2","8099953","6446"
"1989","3","8099953","6446"
"1989","4","8099953","6446"
"1989","5","8099953","6446"
"1989","6","8099953","6446"
"1989","7","8099953","6446"
