"기간","자치구","동","한식.음식점업","용달.및.개별.화물.자동차.운송업","부동산.중개.및.대리업","의복소매업","생맥주.전문점.및.기타.주점업","두발미용업","슈퍼마켓.및.기타.음.식료품.위주.종합.소매업","김밥.및.기타.간이.음식점.및.간이음식.포장.판매업","커피.전문점.및.기타.비알콜.음료점업","가정용.세탁업","노래연습장.운영업","체인화.편의점","치킨전문점","자동차.전문.수리업","채소.과실.및.뿌리작물.소매업","육류소매업","중식음식점업","당구장.운영업","제과점업","컴퓨터.게임방.운영업"
2017,"종로구","소계","9,477","639","906","1,391","2,007","539","957","1,149","3,651","184","266","1,178","458","94","145","130","1,069","170","740","193"
2017,"중구","소계","10,137","611","916","7,956","1,226","920","1,117","1,328","3,461","171","256","1,396","389","70","202","156","1,298","200","839","121"
2017,"용산구","소계","4,769","783","1,075","1,215","1,454","816","872","765","2,094","216","166","1,130","323","299","117","149","688","80","810","151"
2017,"성동구","소계","4,656","1,484","1,206","813","875","882","873","767","1,635","314","244","1,062","393","874","116","237","471","126","382","251"
2017,"광진구","소계","5,304","1,280","1,152","1,269","1,872","1,389","1,223","960","1,730","415","568","1,476","481","220","202","265","790","173","565","422"
2017,"동대문구","소계","5,654","1,810","1,031","1,316","1,318","902","1,353","890","1,401","402","318","1,406","539","498","1,033","438","569","166","449","334"
2017,"중랑구","소계","4,718","2,566","921","1,116","1,226","1,112","1,176","747","941","374","486","1,118","467","307","304","336","360","173","347","285"
2017,"성북구","소계","4,694","1,608","1,028","1,068","1,342","1,389","1,298","911","1,510","437","273","1,359","524","318","223","372","530","146","595","335"
2017,"강북구","소계","4,376","1,333","785","856","1,416","988","977","579","889","337","392","1,048","346","273","238","295","388","156","369","272"
2017,"도봉구","소계","3,160","1,555","694","784","635","804","949","547","681","339","290","908","394","254","205","233","320","143","308","254"
2017,"노원구","소계","5,176","2,084","981","1,842","989","1,445","1,457","980","1,620","402","483","1,330","769","314","173","269","520","169","684","432"
2017,"은평구","소계","4,799","1,921","1,511","1,497","1,144","1,448","1,406","844","1,142","357","365","1,194","583","263","292","365","471","176","535","300"
2017,"서대문구","소계","4,296","1,027","920","822","1,289","1,296","1,089","847","1,944","271","256","1,215","492","184","208","250","553","122","539","276"
2017,"마포구","소계","8,745","1,029","1,564","2,078","3,359","1,972","1,197","1,307","4,352","423","439","1,938","816","251","270","243","1,254","162","996","297"
