통계표,"7.2.국내공급물가지수(2015=100)"
항목명1,"총지수"
단위,"2015=100"
가중치,"1000"
변환,"원자료"
1980/01,"30.76"
1980/02,"35.11"
1980/03,"36.17"
1980/04,"36.92"
1980/05,"37.60"
1980/06,"37.68"
1980/07,"38.05"
1980/08,"39.03"
1980/09,"39.63"
1980/10,"40.15"
1980/11,"41.28"
1980/12,"42.41"
1981/01,"43.17"
1981/02,"43.47"
1981/03,"43.77"
1981/04,"44.67"
1981/05,"45.65"
1981/06,"45.95"
1981/07,"45.88"
1981/08,"46.09"
1981/09,"46.25"
1981/10,"46.18"
1981/11,"45.79"
1981/12,"46.18"
1982/01,"46.55"
1982/02,"46.78"
1982/03,"46.69"
1982/04,"46.85"
1982/05,"47.00"
1982/06,"47.08"
1982/07,"47.22"
1982/08,"47.15"
1982/09,"47.15"
1982/10,"47.15"
1982/11,"47.08"
1982/12,"47.22"
1983/01,"47.45"
1983/02,"47.45"
1983/03,"47.22"
1983/04,"47.00"
1983/05,"46.85"
1983/06,"46.85"
1983/07,"47.00"
1983/08,"47.22"
1983/09,"47.45"
1983/10,"47.30"
1983/11,"47.38"
1983/12,"47.52"
1984/01,"47.60"
1984/02,"47.68"
1984/03,"47.68"
1984/04,"47.98"
1984/05,"47.98"
1984/06,"47.82"
1984/07,"47.90"
1984/08,"48.13"
1984/09,"48.51"
1984/10,"48.20"
1984/11,"47.98"
1984/12,"48.13"
1985/01,"48.51"
1985/02,"48.43"
1985/03,"48.35"
1985/04,"48.65"
1985/05,"48.65"
1985/06,"48.65"
1985/07,"48.65"
1985/08,"48.74"
1985/09,"48.74"
1985/10,"48.81"
1985/11,"48.74"
1985/12,"48.96"
1986/01,"49.03"
1986/02,"48.43"
1986/03,"47.45"
1986/04,"46.92"
1986/05,"46.92"
1986/06,"46.78"
1986/07,"46.62"
1986/08,"46.39"
1986/09,"46.78"
1986/10,"46.62"
1986/11,"46.62"
1986/12,"46.62"
1987/01,"46.92"
1987/02,"47.31"
1987/03,"47.61"
1987/04,"47.98"
1987/05,"48.20"
1987/06,"47.90"
1987/07,"47.90"
1987/08,"48.05"
1987/09,"48.35"
1987/10,"48.43"
1987/11,"48.27"
1987/12,"48.65"
1988/01,"49.11"
1988/02,"49.33"
1988/03,"49.18"
1988/04,"49.03"
1988/05,"49.33"
1988/06,"49.77"
1988/07,"50.09"
1988/08,"50.16"
1988/09,"49.94"
1988/10,"49.70"
1988/11,"49.77"
1988/12,"50.01"
1989/01,"49.94"
1989/02,"50.09"
1989/03,"50.09"
1989/04,"50.23"
1989/05,"50.23"
1989/06,"50.01"
1989/07,"49.70"
1989/08,"49.70"
1989/09,"49.86"
1989/10,"49.94"
1989/11,"49.86"
1989/12,"49.56"
1990/01,"49.77"
1990/02,"50.01"
1990/03,"50.31"
1990/04,"50.61"
1990/05,"50.83"
1990/06,"51.06"
1990/07,"50.83"
1990/08,"51.29"
1990/09,"51.89"
1990/10,"52.79"
1990/11,"53.16"
1990/12,"53.99"
1991/01,"54.08"
1991/02,"53.99"
1991/03,"53.85"
1991/04,"53.54"
1991/05,"53.32"
1991/06,"53.39"
1991/07,"53.32"
1991/08,"53.39"
1991/09,"53.61"
1991/10,"53.69"
1991/11,"53.77"
1991/12,"54.08"
1992/01,"54.29"
1992/02,"54.29"
1992/03,"54.29"
1992/04,"54.59"
1992/05,"54.67"
1992/06,"55.04"
1992/07,"55.35"
1992/08,"55.72"
1992/09,"55.50"
1992/10,"55.35"
1992/11,"55.04"
1992/12,"54.97"
1993/01,"55.04"
1993/02,"55.11"
1993/03,"55.35"
1993/04,"55.80"
1993/05,"55.80"
1993/06,"56.03"
1993/07,"55.87"
1993/08,"56.03"
1993/09,"56.03"
1993/10,"55.87"
1993/11,"55.72"
1993/12,"55.80"
1994/01,"56.17"
1994/02,"56.24"
1994/03,"56.40"
1994/04,"56.48"
1994/05,"56.48"
1994/06,"56.78"
1994/07,"57.16"
1994/08,"57.83"
1994/09,"57.91"
1994/10,"58.13"
1994/11,"58.20"
1994/12,"58.50"
1995/01,"59.28"
1995/02,"59.45"
1995/03,"60.04"
1995/04,"60.29"
1995/05,"60.54"
1995/06,"60.54"
1995/07,"60.45"
1995/08,"60.29"
1995/09,"60.78"
1995/10,"60.29"
1995/11,"59.87"
1995/12,"60.20"
1996/01,"60.87"
1996/02,"60.95"
1996/03,"60.62"
1996/04,"60.87"
1996/05,"60.70"
1996/06,"60.78"
1996/07,"61.53"
1996/08,"61.61"
1996/09,"61.78"
1996/10,"61.95"
1996/11,"62.11"
1996/12,"62.44"
1997/01,"62.94"
1997/02,"63.36"
1997/03,"63.19"
1997/04,"63.52"
1997/05,"63.36"
1997/06,"63.52"
1997/07,"63.36"
1997/08,"63.36"
1997/09,"63.69"
1997/10,"63.77"
1997/11,"64.93"
1997/12,"73.90"
1998/01,"81.21"
1998/02,"81.95"
1998/03,"80.79"
1998/04,"78.39"
1998/05,"77.13"
1998/06,"77.05"
1998/07,"75.97"
1998/08,"74.56"
1998/09,"75.31"
1998/10,"75.72"
1998/11,"75.06"
1998/12,"73.40"
1999/01,"72.07"
1999/02,"71.41"
1999/03,"71.74"
1999/04,"71.91"
1999/05,"72.16"
1999/06,"71.66"
1999/07,"71.41"
1999/08,"72.66"
1999/09,"73.32"
1999/10,"74.73"
1999/11,"75.06"
1999/12,"74.40"
2000/01,"75.31"
2000/02,"75.23"
2000/03,"75.14"
2000/04,"74.31"
2000/05,"74.56"
2000/06,"75.06"
2000/07,"74.81"
2000/08,"74.81"
2000/09,"75.64"
2000/10,"75.72"
2000/11,"75.97"
2000/12,"75.97"
2001/01,"76.88"
2001/02,"76.47"
2001/03,"76.80"
2001/04,"77.13"
2001/05,"76.80"
2001/06,"76.30"
2001/07,"75.72"
2001/08,"75.14"
2001/09,"74.73"
2001/10,"73.73"
2001/11,"72.41"
2001/12,"71.83"
2002/01,"72.16"
2002/02,"72.57"
2002/03,"73.73"
2002/04,"74.56"
2002/05,"74.23"
2002/06,"73.07"
2002/07,"72.49"
2002/08,"72.82"
2002/09,"73.40"
2002/10,"73.82"
2002/11,"73.07"
2002/12,"73.57"
2003/01,"74.06"
2003/02,"75.23"
2003/03,"76.30"
2003/04,"74.89"
2003/05,"73.98"
2003/06,"73.73"
2003/07,"73.73"
2003/08,"74.15"
2003/09,"74.06"
2003/10,"74.89"
2003/11,"75.72"
2003/12,"76.55"
2004/01,"77.71"
2004/02,"78.72"
2004/03,"79.80"
2004/04,"80.13"
2004/05,"81.21"
2004/06,"80.79"
2004/07,"81.37"
2004/08,"82.62"
2004/09,"82.70"
2004/10,"83.36"
2004/11,"82.20"
2004/12,"80.46"
2005/01,"82.29"
2005/02,"82.37"
2005/03,"82.78"
2005/04,"83.28"
2005/05,"82.29"
2005/06,"82.12"
2005/07,"83.12"
2005/08,"83.53"
2005/09,"84.19"
2005/10,"84.28"
2005/11,"83.36"
2005/12,"82.87"
2006/01,"82.87"
2006/02,"82.70"
2006/03,"82.62"
2006/04,"83.03"
2006/05,"83.78"
2006/06,"83.86"
2006/07,"84.36"
2006/08,"85.27"
2006/09,"84.69"
2006/10,"83.61"
2006/11,"82.78"
2006/12,"82.78"
2007/01,"82.29"
2007/02,"82.70"
2007/03,"83.78"
2007/04,"84.53"
2007/05,"85.02"
2007/06,"85.02"
2007/07,"85.02"
2007/08,"85.27"
2007/09,"86.18"
2007/10,"86.52"
2007/11,"87.94"
2007/12,"88.77"
2008/01,"89.93"
2008/02,"91.50"
2008/03,"94.90"
2008/04,"97.73"
2008/05,"102.79"
2008/06,"105.12"
2008/07,"107.03"
2008/08,"105.21"
2008/09,"105.62"
2008/10,"106.87"
2008/11,"102.38"
2008/12,"98.98"
2009/01,"98.15"
2009/02,"99.97"
2009/03,"100.80"
2009/04,"98.15"
2009/05,"96.57"
2009/06,"97.82"
2009/07,"98.73"
2009/08,"99.89"
2009/09,"99.31"
2009/10,"98.23"
2009/11,"99.31"
2009/12,"99.81"
2010/01,"100.56"
2010/02,"101.07"
2010/03,"101.41"
2010/04,"102.02"
2010/05,"103.50"
2010/06,"104.36"
2010/07,"104.46"
2010/08,"104.25"
2010/09,"104.75"
2010/10,"104.81"
2010/11,"105.60"
2010/12,"107.29"
2011/01,"108.35"
2011/02,"109.65"
2011/03,"111.84"
2011/04,"112.33"
2011/05,"112.26"
2011/06,"112.38"
2011/07,"111.93"
2011/08,"112.13"
2011/09,"113.46"
2011/10,"114.09"
2011/11,"113.06"
2011/12,"113.07"
2012/01,"113.62"
2012/02,"114.08"
2012/03,"115.07"
2012/04,"115.24"
2012/05,"114.42"
2012/06,"112.33"
2012/07,"111.20"
2012/08,"111.99"
2012/09,"112.37"
2012/10,"111.19"
2012/11,"109.97"
2012/12,"109.13"
2013/01,"108.96"
2013/02,"110.17"
2013/03,"110.36"
2013/04,"110.01"
2013/05,"109.06"
2013/06,"109.47"
2013/07,"109.13"
2013/08,"109.19"
2013/09,"108.69"
2013/10,"107.98"
2013/11,"107.55"
2013/12,"107.58"
2014/01,"108.28"
2014/02,"108.26"
2014/03,"108.25"
2014/04,"107.35"
2014/05,"106.85"
2014/06,"106.82"
2014/07,"107.03"
2014/08,"106.95"
2014/09,"106.47"
2014/10,"106.05"
2014/11,"105.62"
2014/12,"104.03"
2015/01,"101.47"
2015/02,"100.76"
2015/03,"101.12"
2015/04,"100.48"
2015/05,"100.50"
2015/06,"100.92"
2015/07,"100.89"
2015/08,"100.47"
2015/09,"99.58"
2015/10,"98.21"
2015/11,"97.89"
2015/12,"97.71"
2016/01,"97.27"
2016/02,"96.87"
2016/03,"96.39"
2016/04,"96.34"
2016/05,"97.09"
2016/06,"97.47"
2016/07,"97.09"
2016/08,"96.57"
2016/09,"96.81"
2016/10,"97.44"
2016/11,"98.91"
2016/12,"99.89"
2017/01,"101.80"
2017/02,"101.68"
2017/03,"101.68"
2017/04,"101.25"
2017/05,"101.02"
2017/06,"100.61"
2017/07,"100.39"
2017/08,"100.72"
2017/09,"101.66"
2017/10,"102.11"
2017/11,"101.75"
2017/12,"101.91"
2018/01,"102.13"
2018/02,"103.20"
2018/03,"102.89"
2018/04,"102.92"
2018/05,"103.92"
2018/06,"104.67"
2018/07,"105.61"
2018/08,"105.85"
2018/09,"106.02"
2018/10,"106.29"
2018/11,"105.84"
2018/12,"104.21"
2019/01,"103.48"
2019/02,"103.52"
2019/03,"104.31"
2019/04,"104.87"
2019/05,"105.95"
2019/06,"105.38"
2019/07,"104.74"
2019/08,"105.64"
2019/09,"105.17"
2019/10,"104.75"
2019/11,"104.17"
2019/12,"104.52"
2020/01,"104.80"
2020/02,"105.14"
2020/03,"104.02"
2020/04,"101.70"
2020/05,"100.51"
2020/06,"101.24"
2020/07,"101.84"
2020/08,"102.11"
2020/09,"102.20"
2020/10,"101.24"
2020/11,"101.02"
2020/12,"101.78"
2021/01,"103.56"
2021/02,"105.22"
2021/03,"107.30"
2021/04,"108.41"
2021/05,"109.05"
2021/06,"110.11"
2021/07,"112.25"
2021/08,"113.42"
2021/09,"113.91"
2021/10,"115.46"
   7.2.국내공급물가지수(2015=100)
통계담당 : 한국은행 경제통계국 물가통계팀(02-759-4365)
주 : 주1) : 금월지수는 잠정치이며, 익월지수 공표시 확정됨
