기간	구분	제품별소비량	제품별소비량	제품별소비량	제품별소비량	제품별소비량	제품별소비량	제품별소비량
기간	구분	합계	휘발유	등유	경유	벙커C유	LPG	기타
1997	합계	98,871	15,282	13,472	27,471	6,518	10,968	25,160
1998	합계	84,342	13,400	9,684	20,783	8,542	10,329	21,605
1999	합계	76,835	14,242	10,902	18,217	1,509	10,668	21,298
2000	합계	66,664	13,183	8,277	15,934	1,668	10,483	17,120
2001	합계	58,400	12,247	6,188	13,022	2,708	14,265	9,969
2002	합계	54,824	12,357	4,398	11,846	1,487	17,750	6,987
2003	합계	52,536	11,338	3,589	11,063	1,584	17,854	7,106
2004	합계	52,368	10,499	2,719	11,613	1,599	17,984	7,955
2005	합계	47,362	10,415	2,218	11,480	1,594	14,087	7,568
2006	합계	49,364	10,496	1,628	11,081	1,289	14,165	10,705
2007	합계	51,383	10,644	1,400	11,445	1,582	14,645	11,667
2008	합계	49,272	10,353	1,270	10,892	631	14,927	11,199
2009	합계	45,060	10,580	1,054	9,528	387	11,763	11,748
2010	합계	44,548	10,677	1,140	8,879	304	10,538	13,009
2011	합계	46,218	10,408	968	9,251	492	10,529	14,570
2012	합계	45,829	10,243	808	8,507	1,287	10,071	14,912
2013	합계	46,951	10,106	664	9,713	2,280	9,423	14,765
2014	합계	48,243	9,932	502	11,771	1,849	9,001	15,189
2015	합계	49,392	9,981	505	13,091	1,156	8,983	15,676
2016	합계	49,228	9,998	480	13,621	763	8,567	15,800
2017	합계	46,817	9,641	447	13,091	544	8,164	14,929
2018	합계	42,468	9,344	423	11,883	33	7,760	13,024
2019	합계	41,388	9,323	346	11,778	0	7,620	12,320
2020	합계	35,341	8,670	283	9,246	0	7,013	10,128
