"Date","BillionsofUSD","AnnualPerGrowth","USDperCapita"
"1962-12-31","3.1429337896366","3.8151","120"
"1963-12-31","3.2729929991222","8.6666","120"
"1964-12-31","3.7762499182913","9.715","130"
"1965-12-31","3.8654035777845","7.7614","130"
"1966-12-31","4.0411344256014","12.9497","140"
"1967-12-31","4.558593755955","10.2711","150"
"1968-12-31","5.8462634380519","12.7344","190"
"1969-12-31","7.5004436793571","14.2894","240"
"1970-12-31","8.966378410386","9.0657","280"
"1971-12-31","10.354735881679","9.1313","310"
"1972-12-31","11.54476507269","6.5052","340"
"1973-12-31","14.573219103862","14.7236","430"
"1974-12-31","19.026524456222","9.8348","550"
"1975-12-31","23.174959984907","6.4007","660"
"1976-12-31","28.867967286168","13.685","810"
"1977-12-31","35.232836140176","12.5467","970"
"1978-12-31","47.430925900201","11.7015","1280"
"1979-12-31","63.233601651285","8.0871","1680"
"1980-12-31","71.4037402372","-2.453","1870"
"1981-12-31","78.749279568146","6.7089","2030"
"1982-12-31","80.701724149763","8.8662","2050"
"1983-12-31","86.673858930894","13.2208","2170"
"1984-12-31","94.652662136313","10.0804","2340"
"1985-12-31","101.02400618905","6.8885","2480"
"1986-12-31","117.58020732093","11.3322","2850"
"1987-12-31","147.00785517517","13.9541","3530"
"1988-12-31","190.18270604535","12.5596","4520"
"1989-12-31","228.46149748502","7.6654","5380"
"1990-12-31","276.6761253121","10.1249","6450"
"1991-12-31","327.84034791678","10.7768","7570"
"1992-12-31","363.59866896173","6.1608","8310"
"1993-12-31","398.22730871355","6.8758","9010"
"1994-12-31","450.55425109231","9.1204","10090"
"1995-12-31","532.85164398555","9.4725","11820"
"1996-12-31","606.2676514626","7.9159","13320"
"1997-12-31","622.53632609476","5.9575","13550"
"1998-12-31","478.26921559646","-5.9333","10330"
"1999-12-31","486.02059232032","11.7406","10430"
"2000-12-31","518.60635045791","9.6028","11030"
"2001-12-31","566.26164479371","4.8497","11950"
"2002-12-31","612.24815369102","8.0693","12850"
"2003-12-31","660.34108154523","3.1735","13790"
"2004-12-31","778.81053381141","5.3922","16200"
"2005-12-31","892.24041628654","3.7457","18520"
"2006-12-31","1007.5144828635","5.7157","20800"
"2007-12-31","1141.0171196838","5.8404","23440"
"2008-12-31","1170.238862341","3.2999","23860"
"2009-12-31","1086.5426212155","0.6136","22040"
"2010-12-31","1104.4020539264","7.1262","22290"
"2011-12-31","1177.848647579","4.1504","23590"
"2012-12-31","1287.9929634045","2.8207","25660"
"2013-12-31","1360.3566802888","2.7683","26980"
"2014-12-31","1429.1087210052","3.0501","28160"
"2015-12-31","1465.0568264821","2.6479","28720"
"2016-12-31","1502.0144901379","3.0043","29330"
"2017-12-31","1556.0235879828","3.2045","30300"
"2018-12-31","1689.2096252428","2.8973","32730"
"2019-12-31","1747.1929907463","2.4917","33790"
"2020-12-31","1701.2531650283","-0.9967","32860"
