"Date","PPI"
"1995.01",63.99
"1995.02",64.23
"1995.03",64.7
"1995.04",65.09
"1995.05",65.3
"1995.06",65.36
"1995.07",65.48
"1995.08",65.49
"1995.09",65.92
"1995.10",65.63
"1995.11",65.42
"1995.12",65.68
"1996.01",66.51
"1996.02",66.74
"1996.03",66.57
"1996.04",66.88
"1996.05",66.92
"1996.06",67.13
"1996.07",67.62
"1996.08",67.69
"1996.09",67.83
"1996.10",67.86
"1996.11",67.88
"1996.12",68.06
"1997.01",68.87
"1997.02",69.15
"1997.03",69.1
"1997.04",69.29
"1997.05",69.37
"1997.06",69.44
"1997.07",69.44
"1997.08",69.58
"1997.09",69.79
"1997.10",69.65
"1997.11",70.02
"1997.12",74.58
"1998.01",77.75
"1998.02",79.72
"1998.03",79.55
"1998.04",79.62
"1998.05",78.76
"1998.06",78.68
"1998.07",78.29
"1998.08",77.73
"1998.09",77.79
"1998.10",77.82
"1998.11",77.69
"1998.12",77.26
"1999.01",76.42
"1999.02",76.25
"1999.03",76.11
"1999.04",76.32
"1999.05",76.64
"1999.06",76.15
"1999.07",76.03
"1999.08",76.52
"1999.09",76.89
"1999.10",77.69
"1999.11",78.15
"1999.12",77.96
"2000.01",78.77
"2000.02",78.57
"2000.03",78.52
"2000.04",78.14
"2000.05",77.95
"2000.06",78.14
"2000.07",78.22
"2000.08",78.22
"2000.09",78.48
"2000.10",78.4
"2000.11",78.36
"2000.12",78.46
"2001.01",78.68
"2001.02",78.52
"2001.03",78.7
"2001.04",78.65
"2001.05",78.58
"2001.06",78.26
"2001.07",78.21
"2001.08",77.83
"2001.09",77.62
"2001.10",77.25
"2001.11",76.94
"2001.12",76.47
"2002.01",76.65
"2002.02",77.04
"2002.03",77.44
"2002.04",78.04
"2002.05",78.37
"2002.06",77.87
"2002.07",77.65
"2002.08",77.75
"2002.09",77.91
"2002.10",78.01
"2002.11",78.17
"2002.12",78.18
"2003.01",78.77
"2003.02",79.19
"2003.03",79.96
"2003.04",79.56
"2003.05",79.12
"2003.06",78.74
"2003.07",78.88
"2003.08",79.17
"2003.09",79.5
"2003.10",79.73
"2003.11",80.1
"2003.12",80.62
"2004.01",81.72
"2004.02",82.74
"2004.03",83.54
"2004.04",83.94
"2004.05",84.14
"2004.06",84.06
"2004.07",84.4
"2004.08",85.14
"2004.09",85.49
"2004.10",85.53
"2004.11",85.59
"2004.12",84.96
"2005.01",85.78
"2005.02",85.95
"2005.03",86.03
"2005.04",86.27
"2005.05",85.71
"2005.06",85.32
"2005.07",85.84
"2005.08",86.08
"2005.09",86.46
"2005.10",86.69
"2005.11",86.44
"2005.12",86.19
"2006.01",86.49
"2006.02",86.53
"2006.03",86.42
"2006.04",86.58
"2006.05",86.88
"2006.06",86.72
"2006.07",86.99
"2006.08",87.55
"2006.09",87.84
"2006.10",87.03
"2006.11",86.61
"2006.12",86.53
"2007.01",86.54
"2007.02",86.59
"2007.03",86.96
"2007.04",87.57
"2007.05",88.06
"2007.06",88.24
"2007.07",88.35
"2007.08",88.3
"2007.09",88.72
"2007.10",88.9
"2007.11",89.27
"2007.12",89.63
"2008.01",90.13
"2008.02",90.97
"2008.03",92.15
"2008.04",94.11
"2008.05",96
"2008.06",97.54
"2008.07",99.44
"2008.08",99.16
"2008.09",98.75
"2008.10",98.49
"2008.11",96.2
"2008.12",94.58
"2009.01",94.31
"2009.02",94.95
"2009.03",95.4
"2009.04",95.51
"2009.05",94.78
"2009.06",94.53
