"기간","쌀","돼지고기","쇠고기.국산.","우유","라면","스낵과자","달걀","닭고기","두부","마른멸치","고등어","파","참기름","맛김","콩나물","탄산음료","밀가루","전기료","도시가스","휘발유"
1995,61.018,35.373,32.8185,37.193,44.308,21.902,39.06,60.338,39.704,55.404,25.187,36.6755,69.249,43.932,49.997,39.239,27.929,81.994,30.976,35.736
1996,70.0035,31.307,31.0475,42.437,46.692,31.212,37.9245,57.018,44.3895,64.07,26.427,33.365,69.249,43.932,49.997,40.256,33.906,81.994,32.288,40.214
1997,72.752,38.6735,30.304,42.103,47.839,34.495,38.395,55.483,49.67,52.72,30.423,32.4035,68.142,43.932,56.3335,46.007,35.152,81.994,36.097,49.491
1998,77.353,40.584,31.577,44.929,58.9385,41.6,46.3475,69.173,59.597,40.2805,34.914,40.5815,68.177,46.129,66.2375,51.172,54.0325,92.622,48.9155,66.5305
1999,84.486,41.002,34.134,44.2785,57.769,40.85,44.193,68.076,59.597,36.675,52.036,52.7045,66.621,45.821,70.155,50.9565,45.761,92.622,44.4035,71.435
2000,87.525,44.504,43.7985,43.847,57.424,40.618,36.9735,62.1505,59.597,41.3995,55.404,51.2,62.42,44.4,68.258,45.5575,44.974,92.611,51.823,76.136
2001,88.444,48.331,46.333,44.374,60.9765,49.859,46.387,70.741,59.597,60.7115,80.35,50.0415,61.4805,44.578,66.347,48.6565,48.3005,97.167,61.2905,78.337
2002,85.7735,50.145,62.098,43.584,62.008,49.652,46.6345,64.796,59.597,62.22,69.0425,51.754,59.79,44.445,68.668,48.474,48.055,95.9115,53.757,78.7545
2003,85.818,52.49,69.976,44.111,66.3355,50.108,46.919,57.078,59.895,61.7175,67.593,86.782,60.1975,44.978,70.886,50.6855,54.843,92.611,57.3965,80.235
2004,86.9115,67.1325,76.2245,46.086,69,51.807,57.0545,78.5835,62.875,59.97,87.538,61.578,81.9845,45.8005,73.753,52.5995,60.315,89.635,58.592,84.5615
2005,85.4205,70.231,76.5115,56.114,74.586,57.32,69.622,80.952,63.366,72.031,82.2855,64.8335,81.4555,47.705,73.611,55.3535,63.5765,89.635,61.632,89.173
2006,80.413,69.9835,86.7,58.897,74.3995,57.2345,63.426,75.719,63.113,73.244,91.027,72.869,74.13,48.27,72.281,56.734,64.4615,90.979,70.752,92.6955
2007,81.728,68.1455,81.8985,58.897,80.51,64.986,65.3755,71.228,66.281,74.814,89.755,64.3895,75.3305,59.478,71.912,59.0265,68.1925,91.338,73.989,97.288
2008,86.2695,77.2645,82.9915,63.4405,92.3945,74.196,79.439,82.9825,73.568,77.1685,83.7955,65.621,90.9815,66.118,76.7155,62.2035,110.524,91.338,80.308,108.657
2009,86.778,83.4145,87.988,82.126,92.804,80.145,86.262,103.4445,76.04,82.342,85.345,86.992,99.788,71.9815,77.307,68.7495,107.868,91.338,86.4395,104.556
2010,81.1285,76.9875,100.9035,82.087,92.201,78.8975,82.0385,100.104,78.077,96.84,99.6155,117.855,97.9315,74.428,78.7375,72.7415,88.463,91.349,88.529,110.3895
2011,90.745,100.2755,86.245,82.168,92.293,88.224,99.7175,104.654,96.2745,98.264,115.426,89.6015,96.725,83.039,93.31,78.9645,93.0615,93.19,97.739,123.713
2012,99.465,83.932,85.547,89.454,99.4635,88.9125,88.265,98.87,96.356,95.4635,103.653,135.832,95.485,93.896,94.914,82.158,92.58,95.023,105.161,128.701
2013,104.848,80.6495,86.335,89.7835,100.302,93.9295,93.2365,101.1905,101.508,101.483,98.22,97.935,97.985,93.896,98.663,86.274,99.718,99.029,112.199,125.695
2014,103.572,93.6495,93.0875,99.979,100.61,100.8825,105.3905,99.33,101.003,102.214,103.423,67.1615,100.4175,96.3075,100.148,92.898,101.514,101.708,119.46,122.2815
2015,100.41,100.165,97.515,99.98,100.145,100.09,100.34,99.845,99.795,100.955,103.86,101.49,100.77,99.93,100.13,100.415,100.365,101.62,98.09,99.835
2016,92.95,101.845,112.6,99.765,100.27,97.39,87.345,94.895,101.68,99.105,92.93,123.785,101.51,104.24,104.95,101.475,97.175,101.62,80.665,95.42
2017,85.51,107.76,114.445,98.51,105.67,106.855,142.45,101.205,98.015,103.09,93.315,105.975,98.935,114.1,111.26,105.4,96.03,89.83,86.335,99.71
2018,103.57,103.365,116.01,99.555,105.845,106.995,84.975,100.165,96.88,105.67,93.215,114.465,99.525,113.97,109.94,105.29,95.555,89.83,81.605,104.94
2019,115.375,100.23,120.125,105.835,105.33,111.54,88.16,101.75,98.36,109.38,89.545,101.47,104.46,113.255,111.34,107.075,98.89,89.83,84.71,99.74
2020,114.065,116.97,133.22,106.2,105.09,112.565,98.43,98.13,100.71,110.545,98.645,108.51,114.145,111.58,107.195,112.885,97.77,89.83,81.75,90.725
