"기간","총지수","식료품.및.비주류음료","식료품.및.비주류음료.1","식료품.및.비주류음료.2","주류ㆍ담배","주류ㆍ담배.1","주류ㆍ담배.2","의복ㆍ신발","의복ㆍ신발.1","의복ㆍ신발.2","주택ㆍ수도ㆍ전기.및.연료","주택ㆍ수도ㆍ전기.및.연료.1","주택ㆍ수도ㆍ전기.및.연료.2","주택ㆍ수도ㆍ전기.및.연료.3","주택ㆍ수도ㆍ전기.및.연료.4","가정용품.및.가사서비스","가정용품.및.가사서비스.1","가정용품.및.가사서비스.2","가정용품.및.가사서비스.3","가정용품.및.가사서비스.4","가정용품.및.가사서비스.5","가정용품.및.가사서비스.6","보건","보건.1","보건.2","보건.3","교통","교통.1","교통.2","교통.3","통신","통신.1","통신.2","통신.3","오락.및.문화","오락.및.문화.1","오락.및.문화.2","오락.및.문화.3","오락.및.문화.4","오락.및.문화.5","오락.및.문화.6","교육","교육.1","교육.2","교육.3","교육.4","음식.및.숙박","음식.및.숙박.1","음식.및.숙박.2","기타.상품.및.서비스","기타.상품.및.서비스.1","기타.상품.및.서비스.2","기타.상품.및.서비스.3"
"기간","총지수","계","식료품","비주류음료","계","주류","담배","계","의류","신발","계","주택임차료","주거시설 유지·보수","수도 및 주거관련 서비스","전기가스 및 기타연료","계","가구ㆍ가사비품 및 카페트","가정용 섬유제품","가정용 기기","주방용품 및 가정용품","가정ㆍ정원용 공구 및 장비","일상 생활용품 및 가사서비스","계","의료용품 및 장비","외래환자 서비스","병원서비스","계","운송장비","개인운송장비 운영","운송서비스","계","우편서비스","전화 및 팩스장비","전화 및 팩스서비스","계","음향ㆍ영상ㆍ사진 및 정보처리 장비","기타 오락 및 문화용 주요내구재","기타 오락용품ㆍ조경용품 및 애완동물","오락 및 문화서비스","신문ㆍ서적 및 문방구","단체여행","계","유치원 및 초등교육","중등교육","고등교육","기타교육","계","음식서비스","숙박서비스","계","미용용품 및 미용서비스","기타 개인용품","기타 서비스"
"1995.01","53.039","43.268","43.011","50.403","34.802","64.016","22.597","58.988","60.273","50.448","51.568","59.984","34.681","35.723","37.061","72.745","60.029","81.186","129.951","54.242","97.578","43.099","57.297","80.882","45.141","32.531","42.552","94.12","35.045","32.881","137.711","48.351","805.711","127.93","87.595","555.738","60.04","65.93","73.021","42.545","-","42.598","38.778","51.711","35.147","47.068","59.138","59.216","50.495","51.725","53.141","25.817","75.552"
"1995.02","53.31","43.698","43.479","50.775","34.66","63.553","22.597","59.047","60.273","50.6","51.674","60.107","34.718","36.486","37.061","71.739","56.548","81.186","129.951","54.298","97.578","43.277","57.414","81.211","45.141","32.531","43.047","94.12","36.136","32.881","137.711","48.351","805.711","127.93","88.31","555.738","60.04","70.088","73.17","42.868","-","42.923","38.778","51.711","35.147","47.623","59.623","59.763","50.495","51.725","53.141","25.791","75.552"
"1995.03","53.853","44.042","43.821","51.094","34.66","63.553","22.597","59.047","60.334","50.6","51.936","60.168","36.33","36.559","37.361","71.81","56.548","81.186","129.951","54.518","97.578","43.412","57.592","81.622","45.141","32.531","43.766","94.12","37.228","33.415","137.711","48.351","805.711","127.93","88.4","555.738","60.04","68.383","73.319","43.236","-","45.383","45.816","58.665","40.36","47.774","60.047","60.188","50.495","51.725","53.355","25.459","75.552"
"1995.04","54.178","43.957","43.693","51.466","34.66","63.553","22.597","59.106","60.334","50.6","51.936","60.474","36.623","36.086","36.874","72.026","56.548","81.186","129.951","54.518","97.578","44.438","58.943","82.198","46.817","34.418","44.981","94.12","37.717","35.625","137.711","48.351","805.711","127.93","88.758","555.738","60.04","65.93","73.618","44.248","-","46.032","44.593","58.606","40.36","49.083","60.35","60.492","50.495","51.725","53.463","25.459","75.552"
"1995.05","54.232","43.526","43.181","51.838","34.66","63.553","22.597","59.047","60.273","50.6","52.304","60.903","37.1","36.159","37.061","72.169","56.548","81.186","129.951","54.518","97.578","44.93","58.943","82.279","46.817","34.418","45.206","94.12","38.207","35.625","137.711","48.351","805.711","127.93","90.637","555.738","60.04","66.339","73.767","47.333","-","46.032","44.593","58.606","40.36","49.083","60.532","60.675","50.495","51.778","53.516","25.459","75.552"
"1995.06","54.015","42.537","42.158","53.058","35.658","66.729","22.597","59.225","60.515","50.6","52.462","61.147","37.209","35.832","37.173","71.451","56.548","81.186","124.495","54.791","97.578","45.064","59.001","82.362","46.817","34.418","44.891","94.12","37.454","35.625","137.711","48.351","805.711","127.93","89.832","526.914","59.918","68.316","74.813","47.333","-","46.032","44.593","58.606","40.36","49.083","60.532","60.675","50.495","51.778","53.624","25.331","75.552"
"1995.07","54.287","42.408","41.945","53.962","36.12","68.319","22.597","59.225","60.515","50.6","52.725","61.576","37.209","35.868","36.985","71.523","56.548","81.186","124.748","54.903","97.578","45.243","59.119","82.69","46.817","34.418","44.981","94.12","37.265","36.017","137.711","48.351","805.711","127.93","89.741","526.914","59.736","66.748","74.813","47.333","-","47.889","44.593","58.606","40.36","52.36","60.775","60.918","50.495","51.83","53.784","25.254","75.552"
"1995.08","54.558","42.794","42.329","54.493","36.085","68.186","22.597","59.343","60.636","50.6","52.83","61.637","37.209","36.377","37.061","71.595","56.548","81.186","124.748","55.232","97.578","45.288","59.119","82.69","46.817","34.418","45.475","94.12","38.131","36.193","137.711","48.351","805.711","127.93","89.832","526.914","59.736","66.748","75.186","47.333","-","47.935","44.593","58.606","40.36","52.459","60.897","61.039","50.495","52.928","53.837","25.485","81.966"
"1995.09","54.992","43.655","43.224","54.918","36.227","68.12","22.847","59.402","60.696","50.6","53.093","61.882","37.209","36.924","37.509","71.595","56.548","81.186","124.748","55.287","97.578","45.288","59.061","82.608","46.817","34.418","46.42","94.12","39.449","36.977","137.711","48.351","805.711","127.93","90.458","526.914","59.736","70.907","75.261","47.564","-","47.935","44.593","58.606","40.36","52.459","61.078","61.222","50.495","53.085","53.837","25.894","81.966"
