"기간","자치구","동","생맥주.전문점.및.기타.주점업","커피.전문점.및.기타.비알콜.음료점업"
2017,"종로구","소계","2,007","3,651"
2017,"중구","소계","1,226","3,461"
2017,"용산구","소계","1,454","2,094"
2017,"성동구","소계","875","1,635"
2017,"광진구","소계","1,872","1,730"
2017,"동대문구","소계","1,318","1,401"
2017,"중랑구","소계","1,226","941"
2017,"성북구","소계","1,342","1,510"
2017,"강북구","소계","1,416","889"
2017,"도봉구","소계","635","681"
2017,"노원구","소계","989","1,620"
2017,"은평구","소계","1,144","1,142"
2017,"서대문구","소계","1,289","1,944"
2017,"마포구","소계","3,359","4,352"
2017,"양천구","소계","1,082","1,281"
2017,"강서구","소계","1,985","2,135"
2017,"구로구","소계","1,319","1,413"
2017,"금천구","소계","799","1,011"
2017,"영등포구","소계","1,641","2,946"
2017,"동작구","소계","1,162","1,596"
2017,"관악구","소계","1,891","1,769"
2017,"서초구","소계","1,624","3,875"
2017,"강남구","소계","2,785","6,837"
2017,"송파구","소계","1,867","3,026"
2017,"강동구","소계","1,625","1,575"
2018,"종로구","소계","1,925","4,346"
2018,"중구","소계","1,250","3,834"
2018,"용산구","소계","1,527","2,500"
2018,"성동구","소계","867","1,852"
2018,"광진구","소계","1,917","1,976"
2018,"동대문구","소계","1,248","1,629"
2018,"중랑구","소계","1,185","1,018"
2018,"성북구","소계","1,243","1,862"
2018,"강북구","소계","1,354","951"
2018,"도봉구","소계","600","805"
2018,"노원구","소계","1,064","1,801"
2018,"은평구","소계","1,151","1,306"
2018,"서대문구","소계","1,280","2,107"
2018,"마포구","소계","3,379","5,156"
2018,"양천구","소계","1,059","1,433"
2018,"강서구","소계","1,926","2,541"
2018,"구로구","소계","1,317","1,571"
2018,"금천구","소계","817","1,234"
2018,"영등포구","소계","1,676","3,282"
2018,"동작구","소계","1,206","1,756"
2018,"관악구","소계","1,901","2,050"
2018,"서초구","소계","1,725","4,455"
2018,"강남구","소계","2,942","7,746"
2018,"송파구","소계","1,943","3,617"
2018,"강동구","소계","1,485","1,701"
2019,"종로구","소계","1,771","4,369"
2019,"중구","소계","2,175","4,197"
2019,"용산구","소계","1,508","2,397"
2019,"성동구","소계","781","2,020"
2019,"광진구","소계","1,799","2,113"
2019,"동대문구","소계","1,222","1,702"
2019,"중랑구","소계","1,186","1,124"
2019,"성북구","소계","1,145","1,917"
2019,"강북구","소계","1,334","1,198"
2019,"도봉구","소계","585","901"
2019,"노원구","소계","1,030","1,974"
2019,"은평구","소계","1,104","1,521"
2019,"서대문구","소계","1,223","2,087"
2019,"마포구","소계","2,874","5,036"
2019,"양천구","소계","997","1,657"
2019,"강서구","소계","1,889","2,930"
2019,"구로구","소계","1,361","1,622"
2019,"금천구","소계","778","1,286"
2019,"영등포구","소계","1,805","3,631"
2019,"동작구","소계","1,205","1,863"
2019,"관악구","소계","1,990","2,186"
2019,"서초구","소계","1,532","4,398"
2019,"강남구","소계","3,024","8,407"
2019,"송파구","소계","1,767","3,933"
2019,"강동구","소계","1,429","1,852"
